run_id,success,duration_seconds,returncode,output_dir,timestamp,neighborhood,year,scenario,topology_source,spacing_m,heat_pump_cop,heat_substation_eff,delta_t,flow_speed,distance_factor_heat_trans_main,distance_factor_heat_dist_main,distance_factor_heat_dist_sec,distance_factor_elec_dist_main,distance_factor_elec_dist_sec,apply_heat_losses,apply_electricity_losses,heat_loss_rate_trans_main,heat_loss_rate_dist_main,heat_loss_rate_dist_sec,elec_resistance_main,elec_resistance_sec
multatulibuurt_2019_district_heating_stedin_3a2c6b76,True,442.171082,0,parallel_results\20260121_202918\multatulibuurt_2019_district_heating_stedin_3a2c6b76,2026-01-21T20:29:18.805096,multatulibuurt,2019,district_heating,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52.0,29.0,0.247,0.247
multatulibuurt_2019_full_electrification_stedin_40037155,True,461.022385,0,parallel_results\20260121_202918\multatulibuurt_2019_full_electrification_stedin_40037155,2026-01-21T20:36:41.700282,multatulibuurt,2019,full_electrification,stedin,5.0,4.0,0.81,25,0.56,1.0,0.9,0.9,1.0,1.0,True,True,59.2,46.8,26.1,0.247,0.247
multatulibuurt_2019_district_heating_stedin_de843047,True,986.084172,0,parallel_results\20260121_202918\multatulibuurt_2019_district_heating_stedin_de843047,2026-01-21T20:44:23.583764,multatulibuurt,2019,district_heating,stedin,2.5,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52.0,29.0,0.247,0.247
multatulibuurt_2019_district_heating_stedin_5257d7b0,True,374.003314,0,parallel_results\20260121_202918\multatulibuurt_2019_district_heating_stedin_5257d7b0,2026-01-21T21:00:49.941814,multatulibuurt,2019,district_heating,stedin,10.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52.0,29.0,0.247,0.247
multatulibuurt_2019_district_heating_stedin_d4bf5c64,True,545.896694,0,parallel_results\20260121_202918\multatulibuurt_2019_district_heating_stedin_d4bf5c64,2026-01-21T21:07:04.138479,multatulibuurt,2019,district_heating,stedin,5.0,4.0,0.81,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52.0,29.0,0.247,0.247
multatulibuurt_2019_district_heating_stedin_ed640d99,True,536.683291,0,parallel_results\20260121_202918\multatulibuurt_2019_district_heating_stedin_ed640d99,2026-01-21T21:16:10.971377,multatulibuurt,2019,district_heating,stedin,5.0,4.0,0.99,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52.0,29.0,0.247,0.247
multatulibuurt_2019_district_heating_stedin_9cebb006,True,532.365701,0,parallel_results\20260121_202918\multatulibuurt_2019_district_heating_stedin_9cebb006,2026-01-21T21:25:08.113163,multatulibuurt,2019,district_heating,stedin,5.0,4.0,0.9,25,0.56,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52.0,29.0,0.247,0.247
multatulibuurt_2019_district_heating_stedin_f14a4429,True,550.838267,0,parallel_results\20260121_202918\multatulibuurt_2019_district_heating_stedin_f14a4429,2026-01-21T21:34:00.857989,multatulibuurt,2019,district_heating,stedin,5.0,4.0,0.9,25,0.68,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52.0,29.0,0.247,0.247
multatulibuurt_2019_district_heating_stedin_1a22e664,True,560.678584,0,parallel_results\20260121_202918\multatulibuurt_2019_district_heating_stedin_1a22e664,2026-01-21T21:43:12.223444,multatulibuurt,2019,district_heating,stedin,5.0,4.0,0.9,25,0.62,1.0,0.9,1.0,1.0,1.0,True,True,65.8,52.0,29.0,0.247,0.247
multatulibuurt_2019_district_heating_stedin_636e4d65,True,546.192123,0,parallel_results\20260121_202918\multatulibuurt_2019_district_heating_stedin_636e4d65,2026-01-21T21:52:33.163716,multatulibuurt,2019,district_heating,stedin,5.0,4.0,0.9,25,0.62,1.0,1.1,1.0,1.0,1.0,True,True,65.8,52.0,29.0,0.247,0.247
