run_id,neighborhood,year,scenario,topology_source,success,duration_seconds,scenario_info_neighborhood_name,scenario_info_year,scenario_info_scenario_type,scenario_info_topology_source,scenario_info_timestamp,scenario_info_spacing_m,technology_parameters_heat_pump_cop,technology_parameters_heat_substation_eff,technology_parameters_hybrid_threshold_kW,postprocessing_parameters_pipe_sizing_heat_capacity,postprocessing_parameters_pipe_sizing_density,postprocessing_parameters_pipe_sizing_delta_T,postprocessing_parameters_pipe_sizing_flow_speed,postprocessing_parameters_distance_factors_Heat transmission main,postprocessing_parameters_distance_factors_LQ heat distribution main,postprocessing_parameters_distance_factors_LQ heat distribution secondary,postprocessing_parameters_distance_factors_LV electricity distribution main,postprocessing_parameters_distance_factors_LV electricity distribution secondary,postprocessing_parameters_heat_loss_rates_Heat transmission main,postprocessing_parameters_heat_loss_rates_LQ heat distribution main,postprocessing_parameters_heat_loss_rates_LQ heat distribution secondary,postprocessing_parameters_electricity_resistance_rates_LV electricity distribution main,postprocessing_parameters_electricity_resistance_rates_LV electricity distribution secondary,model_size_num_nodes,model_size_num_techs,model_size_num_carriers,model_size_num_links,results_summary_total_capacity_installed,results_summary_supply_geothermal_capacity_original_kW,results_summary_supply_geothermal_capacity_adjusted_kW,results_summary_supply_geothermal_additional_for_losses_kW,results_summary_heat_pump_capacity_kW,results_summary_heat_pump_electricity_capacity_kW,results_summary_supply_LV_electricity_capacity_kW,results_summary_total_heat_demand_kW,results_summary_heat_losses_total_system_losses_kW,results_summary_heat_losses_LQ_network_losses_kW,results_summary_heat_losses_HQ_network_losses_kW,results_summary_heat_losses_substation_efficiency_losses_kW,results_summary_heat_losses_loss_percentage,results_summary_district_heating_efficiency,execution_time_total_seconds,heat_loss_info_apply_heat_losses,heat_loss_info_total_system_losses_kw,electricity_loss_info_apply_electricity_losses,electricity_loss_info_total_lv_losses_kw,unmet_demand_info_total_unmet_demand_kw,unmet_demand_info_num_unmet_nodes,unmet_demand_info_total_demand_nodes,unmet_demand_info_unmet_demand_fraction,connectivity_info_num_isolated_demand_nodes_requiring_bridges,connectivity_info_isolated_demand_nodes_list,connectivity_info_total_demand_nodes_in_network,connectivity_info_connectivity_status,supply_losses_substation_multatulibuurt,supply_losses_geothermie_delft,results_summary_supply_geothermal_capacity_kW,results_summary_supply_LV_electricity_capacity_original_kW,results_summary_supply_LV_electricity_capacity_adjusted_kW,results_summary_supply_LV_electricity_additional_for_losses_kW,results_summary_electricity_losses_total_lv_losses_kW,results_summary_electricity_losses_loss_percentage,supply_losses_MV_LV_transformer1,supply_losses_MV_LV_transformer11,supply_losses_MV_LV_transformer12,supply_losses_MV_LV_transformer2,supply_losses_MV_LV_transformer3,supply_losses_MV_LV_transformer4,supply_losses_MV_LV_transformer7,supply_losses_MV_LV_transformer9
multatulibuurt_2019_district_heating_stedin_3a2c6b76,multatulibuurt,2019,district_heating,stedin,True,442.171082,Multatulibuurt,2019,district_heating,stedin,2026-01-21T20:36:36.705304,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,3582,3600,3,3595,965807.7456300141,5262.194705157177,5760.339704227906,498.1449990707288,0.0,0.0,0.0,4735.97523464146,1024.364469586447,361.85085674148615,96.08849158018894,566.425121264772,21.62943045169866,0.8221694340640023,434.9186961000087,True,1024.364469586447,True,0.0,0.0,0,376,0/376,6,"D0503100000020033, D0503100000020034, D0503100000019939, D0503100000019940, D0503100000020028, D0503100000020032",376,partially_connected_with_emergency_links,361.85085674148615,498.1449990707288,,,,,,,,,,,,,,
multatulibuurt_2019_full_electrification_stedin_40037155,multatulibuurt,2019,full_electrification,stedin,True,461.022385,Multatulibuurt,2019,full_electrification,stedin,2026-01-21T20:44:18.227801,5.0,4.0,0.81,50,4.19,1000,25.0,0.56,1.0,0.9,0.9,1.0,1.0,59.2,46.8,26.1,0.247,0.247,3461,3815,3,3809,69749.59845493214,,,,4735.97523464146,1183.993808660365,,4735.97523464146,,,,,,,452.1092677998822,True,0.0,True,68.57680658931274,0.0,0,376,0/376,6,"D0503100000019940, D0503100000020033, D0503100000020032, D0503100000020028, D0503100000019939, D0503100000020034",376,partially_connected_with_emergency_links,,,0.0,1183.9938086603652,1252.570615249678,68.57680658931274,68.57680658931274,5.791990303302706,0.7602122756709104,11.100093251093675,0.23959528271938418,2.103166029310132,53.447481094028355,0.03596613989095939,0.42464620915741624,0.46564630744193186
multatulibuurt_2019_district_heating_stedin_de843047,multatulibuurt,2019,district_heating,stedin,True,986.084172,Multatulibuurt,2019,district_heating,stedin,2026-01-21T21:00:39.120815,2.5,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,5138,5156,3,5151,1432841.976161114,5262.194705157178,5760.396150695325,498.2014455381468,0.0,0.0,0.0,4735.97523464146,1024.4209160538644,361.90165856216163,96.08849158018894,566.4307659115138,21.63062231746275,0.8221613775764,971.0840832000831,True,1024.4209160538644,True,0.0,0.0,0,376,0/376,6,"D0503100000020032, D0503100000020033, D0503100000020034, D0503100000020028, D0503100000019939, D0503100000019940",376,partially_connected_with_emergency_links,361.90165856216163,498.2014455381468,,,,,,,,,,,,,,
multatulibuurt_2019_district_heating_stedin_5257d7b0,multatulibuurt,2019,district_heating,stedin,True,374.003314,Multatulibuurt,2019,district_heating,stedin,2026-01-21T21:07:00.649255,10.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,2997,3015,3,3010,776867.2804433394,5262.194705157177,5760.635667787352,498.4409626301749,0.0,0.0,0.0,4735.97523464146,1024.6604331458934,362.1172239449878,96.08849158018894,566.4547176207166,21.63567971493977,0.8221271935533702,366.1656015998451,True,1024.6604331458934,True,0.0,0.0,0,376,0/376,6,"D0503100000019939, D0503100000020028, D0503100000020032, D0503100000020033, D0503100000020034, D0503100000019940",376,partially_connected_with_emergency_links,362.1172239449878,498.4409626301749,,,,,,,,,,,,,,
multatulibuurt_2019_district_heating_stedin_d4bf5c64,multatulibuurt,2019,district_heating,stedin,True,545.896694,Multatulibuurt,2019,district_heating,stedin,2026-01-21T21:16:03.370956,5.0,4.0,0.81,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,3582,3600,3,3595,971654.6286357444,5846.883005730196,6389.700950077652,542.8179443474564,0.0,0.0,0.0,4735.97523464146,1653.7257154361928,361.85085674148615,96.08849158018894,1195.7863671145178,34.91837759918923,0.7411888712231368,535.0349556996953,True,1653.7257154361928,True,0.0,0.0,0,376,0/376,6,"D0503100000020028, D0503100000020033, D0503100000019939, D0503100000020034, D0503100000019940, D0503100000020032",376,partially_connected_with_emergency_links,361.85085674148615,542.8179443474564,,,,,,,,,,,,,,
multatulibuurt_2019_district_heating_stedin_ed640d99,multatulibuurt,2019,district_heating,stedin,True,536.683291,Multatulibuurt,2019,district_heating,stedin,2026-01-21T21:25:01.259379,5.0,4.0,0.99,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,3582,3600,3,3595,961023.9322616888,4783.813368324706,5245.407775805386,461.5944074806803,0.0,0.0,0.0,4735.97523464146,509.43254116392745,361.8508567414862,96.08849158018894,51.493192842252306,10.756655512842741,0.9028802787242394,525.0232800999656,True,509.43254116392745,True,0.0,0.0,0,376,0/376,6,"D0503100000019940, D0503100000020033, D0503100000019939, D0503100000020028, D0503100000020034, D0503100000020032",376,partially_connected_with_emergency_links,361.8508567414862,461.5944074806803,,,,,,,,,,,,,,
multatulibuurt_2019_district_heating_stedin_9cebb006,multatulibuurt,2019,district_heating,stedin,True,532.365701,Multatulibuurt,2019,district_heating,stedin,2026-01-21T21:33:53.872039,5.0,4.0,0.9,50,4.19,1000,25.0,0.56,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,3582,3600,3,3595,965807.7456300141,5262.194705157177,5760.339704227906,498.1449990707288,0.0,0.0,0.0,4735.97523464146,1024.364469586447,361.85085674148615,96.08849158018894,566.425121264772,21.62943045169866,0.8221694340640023,520.87941269984,True,1024.364469586447,True,0.0,0.0,0,376,0/376,6,"D0503100000019940, D0503100000020032, D0503100000020033, D0503100000020034, D0503100000019939, D0503100000020028",376,partially_connected_with_emergency_links,361.85085674148615,498.1449990707288,,,,,,,,,,,,,,
multatulibuurt_2019_district_heating_stedin_f14a4429,multatulibuurt,2019,district_heating,stedin,True,550.838267,Multatulibuurt,2019,district_heating,stedin,2026-01-21T21:43:05.547831,5.0,4.0,0.9,50,4.19,1000,25.0,0.68,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,3582,3600,3,3595,965807.7456300141,5262.194705157177,5760.339704227906,498.1449990707288,0.0,0.0,0.0,4735.97523464146,1024.3644695864473,361.85085674148627,96.08849158018894,566.425121264772,21.629430451698667,0.8221694340640023,539.6923002999974,True,1024.3644695864473,True,0.0,0.0,0,376,0/376,6,"D0503100000019939, D0503100000020032, D0503100000020033, D0503100000020028, D0503100000020034, D0503100000019940",376,partially_connected_with_emergency_links,361.85085674148627,498.1449990707288,,,,,,,,,,,,,,
multatulibuurt_2019_district_heating_stedin_1a22e664,multatulibuurt,2019,district_heating,stedin,True,560.678584,Multatulibuurt,2019,district_heating,stedin,2026-01-21T21:52:27.026624,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,0.9,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,3582,3600,3,3595,965807.7456300141,5262.194705157177,5732.135541013976,469.9408358567989,0.0,0.0,0.0,4735.97523464146,996.1603063725174,336.4671098489494,96.08849158018894,563.604704943379,21.033900242680055,0.8262148026254972,549.2052365997806,True,996.1603063725174,True,0.0,0.0,0,376,0/376,6,"D0503100000020028, D0503100000020034, D0503100000020033, D0503100000019940, D0503100000020032, D0503100000019939",376,partially_connected_with_emergency_links,336.4671098489494,469.9408358567989,,,,,,,,,,,,,,
multatulibuurt_2019_district_heating_stedin_636e4d65,multatulibuurt,2019,district_heating,stedin,True,546.192123,Multatulibuurt,2019,district_heating,stedin,2026-01-21T22:01:33.461205,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.1,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,3582,3600,3,3595,965807.7456300141,5262.194705157177,5788.5438674418365,526.3491622846595,0.0,0.0,0.0,4735.97523464146,1052.5686328003762,387.2346036340224,96.08849158018894,569.245537586165,22.224960660717258,0.8181634868968274,535.3102069997694,True,1052.5686328003762,True,0.0,0.0,0,376,0/376,6,"D0503100000020028, D0503100000020032, D0503100000019939, D0503100000020034, D0503100000020033, D0503100000019940",376,partially_connected_with_emergency_links,387.2346036340224,526.3491622846595,,,,,,,,,,,,,,
