techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from,distance
geothermie_delft_to_warmtenet1,#823739,Heat transmission main,transmission,100000,1,20,geothermie_delft,warmtenet1,
warmtenet1_to_warmtenet2,#823740,Heat transmission main,transmission,100000,1,20,warmtenet1,warmtenet2,
warmtenet2_to_warmtenet3,#823741,Heat transmission main,transmission,100000,1,20,warmtenet2,warmtenet3,
warmtenet3_to_warmtenet4,#823742,Heat transmission main,transmission,100000,1,20,warmtenet3,warmtenet4,
warmtenet4_to_warmtenet5,#823743,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet5,
warmtenet5_to_warmtenet6,#823744,Heat transmission main,transmission,100000,1,20,warmtenet5,warmtenet6,
warmtenet6_to_warmtenet7,#823745,Heat transmission main,transmission,100000,1,20,warmtenet6,warmtenet7,
warmtenet7_to_warmtenet8,#823746,Heat transmission main,transmission,100000,1,20,warmtenet7,warmtenet8,
warmtenet8_to_warmtenet9,#823747,Heat transmission main,transmission,100000,1,20,warmtenet8,warmtenet9,
warmtenet9_to_warmtenet10,#823748,Heat transmission main,transmission,100000,1,20,warmtenet9,warmtenet10,
warmtenet10_to_warmtenet11,#823749,Heat transmission main,transmission,100000,1,20,warmtenet10,warmtenet11,
warmtenet11_to_warmtenet12,#823750,Heat transmission main,transmission,100000,1,20,warmtenet11,warmtenet12,
warmtenet4_to_warmtenet13,#823751,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet13,
warmtenet13_to_warmtenet14,#823752,Heat transmission main,transmission,100000,1,20,warmtenet13,warmtenet14,
warmtenet14_to_warmtenet15,#823753,Heat transmission main,transmission,100000,1,20,warmtenet14,warmtenet15,
LQHtransmission1420_to_LQHtransmission1531_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1531,LQHtransmission1420,
LQHtransmission1531_to_LQHtransmission380_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission380,LQHtransmission1531,
LQHtransmission380_to_LQHtransmission1855_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1855,LQHtransmission380,
LQHtransmission650_to_LQHtransmission71_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission71,LQHtransmission650,
LQHtransmission399_to_LQHtransmission1423_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1423,LQHtransmission399,
LQHtransmission1423_to_LQHtransmission2054_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2054,LQHtransmission1423,
LQHtransmission2054_to_LQHtransmission1069_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1069,LQHtransmission2054,
LQHtransmission1069_to_LQHtransmission2366_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2366,LQHtransmission1069,
LQHtransmission2366_to_LQHtransmission166_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission166,LQHtransmission2366,
LQHtransmission166_to_LQHtransmission1788_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1788,LQHtransmission166,
LQHtransmission1788_to_LQHtransmission1080_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1080,LQHtransmission1788,
LQHtransmission1080_to_LQHtransmission1821_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1821,LQHtransmission1080,
LQHtransmission1821_to_LQHtransmission1448_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1448,LQHtransmission1821,
LQHtransmission1448_to_LQHtransmission1715_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1715,LQHtransmission1448,
