name,capacity_kw,distance_m,flow_rate_m^3/s,diameter_mm,final_diameter_mm
Geothermal heat supply,5760.635667787352,,,,
HQ to LQ heat conversion substation,4735.975234641459,,,,
Heat transmission main_DN335,5698.585749191519,172.14734518840646,0.05440177326197155,334.2456336020403,335.0
Heat transmission main_DN335,5687.258453878122,163.60029736688804,0.05429363679119926,333.9132719880216,335.0
Heat transmission main_DN335,5676.493554311381,36.50527946716264,0.054190869253569265,333.59710511918234,335.0
Heat transmission main_DN335,5674.091506922441,94.31119024231013,0.05416793801357939,333.52651569314094,335.0
Heat transmission main_DN335,5667.885830604497,50.73942853091202,0.05410869528023386,333.34407910189145,335.0
Heat transmission main_DN340,5760.635667787352,69.33570375591154,0.054994135253339876,336.06044899082303,340.0
Heat transmission main_DN340,5756.073378480213,154.82801488885883,0.054950581178808716,335.9273466070454,340.0
Heat transmission main_DN340,5745.885695100526,237.0817192109121,0.054853324058238916,335.62993578066454,340.0
Heat transmission main_DN340,5730.285717976449,481.7624435399594,0.054704398262305,335.1740114706626,340.0
LQ heat distribution main_DN105,562.3094086423682,0.8724572071138704,0.005368108913053634,104.99530364723984,105.0
LQ heat distribution main_DN105,562.2640408675983,0.5676582926787994,0.005367675807805234,104.99106799041313,105.0
LQ heat distribution main_DN105,562.234522636379,1.1923290011947187,0.005367394010848486,104.98831199761243,105.0
LQ heat distribution main_DN105,562.1725215283169,2.418436480532492,0.005366802114828801,104.98252297996675,105.0
LQ heat distribution main_DN105,562.0467628313293,2.5835547498962983,0.005365601554475697,104.97077996227607,105.0
LQ heat distribution main_DN105,561.9124179843346,2.006089286748504,0.005364319026103433,104.95823374093288,105.0
LQ heat distribution main_DN105,561.8081013414237,6.703829482844778,0.005363323163163949,104.94849076458982,105.0
LQ heat distribution main_DN105,561.4595022083158,6.703832860926287,0.005359995247812084,104.91592570387702,105.0
LQ heat distribution main_DN105,561.1109028995477,6.703836236180303,0.005356667330783271,104.88335051567473,105.0
LQ heat distribution main_DN105,560.7623034152663,7.526255530430948,0.005353339412078914,104.85076519055748,105.0
