techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from,distance
geothermie_delft_to_warmtenet1,#823739,Heat transmission main,transmission,100000,1,20,geothermie_delft,warmtenet1,
warmtenet1_to_warmtenet2,#823740,Heat transmission main,transmission,100000,1,20,warmtenet1,warmtenet2,
warmtenet2_to_warmtenet3,#823741,Heat transmission main,transmission,100000,1,20,warmtenet2,warmtenet3,
warmtenet3_to_warmtenet4,#823742,Heat transmission main,transmission,100000,1,20,warmtenet3,warmtenet4,
warmtenet4_to_warmtenet5,#823743,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet5,
warmtenet5_to_warmtenet6,#823744,Heat transmission main,transmission,100000,1,20,warmtenet5,warmtenet6,
warmtenet6_to_warmtenet7,#823745,Heat transmission main,transmission,100000,1,20,warmtenet6,warmtenet7,
warmtenet7_to_warmtenet8,#823746,Heat transmission main,transmission,100000,1,20,warmtenet7,warmtenet8,
warmtenet8_to_warmtenet9,#823747,Heat transmission main,transmission,100000,1,20,warmtenet8,warmtenet9,
warmtenet9_to_warmtenet10,#823748,Heat transmission main,transmission,100000,1,20,warmtenet9,warmtenet10,
warmtenet10_to_warmtenet11,#823749,Heat transmission main,transmission,100000,1,20,warmtenet10,warmtenet11,
warmtenet11_to_warmtenet12,#823750,Heat transmission main,transmission,100000,1,20,warmtenet11,warmtenet12,
warmtenet4_to_warmtenet13,#823751,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet13,
warmtenet13_to_warmtenet14,#823752,Heat transmission main,transmission,100000,1,20,warmtenet13,warmtenet14,
warmtenet14_to_warmtenet15,#823753,Heat transmission main,transmission,100000,1,20,warmtenet14,warmtenet15,
LQHtransmission2593_to_LQHtransmission2790_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2790,LQHtransmission2593,
LQHtransmission2790_to_LQHtransmission717_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission717,LQHtransmission2790,
LQHtransmission717_to_LQHtransmission3361_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission3361,LQHtransmission717,
LQHtransmission1210_to_LQHtransmission139_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission139,LQHtransmission1210,
LQHtransmission760_to_LQHtransmission4446_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission4446,LQHtransmission760,
LQHtransmission4446_to_LQHtransmission3902_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission3902,LQHtransmission4446,
LQHtransmission3902_to_LQHtransmission3373_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission3373,LQHtransmission3902,
LQHtransmission3373_to_LQHtransmission1141_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1141,LQHtransmission3373,
LQHtransmission1141_to_LQHtransmission4218_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission4218,LQHtransmission1141,
LQHtransmission4218_to_LQHtransmission622_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission622,LQHtransmission4218,
LQHtransmission622_to_LQHtransmission3723_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission3723,LQHtransmission622,
LQHtransmission3723_to_LQHtransmission1976_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1976,LQHtransmission3723,
LQHtransmission1976_to_LQHtransmission1145_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1145,LQHtransmission1976,
LQHtransmission1145_to_LQHtransmission952_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission952,LQHtransmission1145,
