techs,carrier_out,carrier_in
LVEtransmission766_to_LVEtransmission2563_electricity,1,1
LVEtransmission2563_to_LVEtransmission591_electricity,1,1
LVEtransmission591_to_LVEtransmission3222_electricity,1,1
LVEtransmission3222_to_LVEtransmission736_electricity,1,1
LVEtransmission736_to_LVEtransmission3937_electricity,1,1
LVEtransmission3937_to_LVEtransmission165_electricity,1,1
LVEtransmission165_to_LVEtransmission3584_electricity,1,1
LVEtransmission3584_to_LVEtransmission5022_electricity,1,1
LVEtransmission5022_to_LVEtransmission1217_electricity,1,1
LVEtransmission1217_to_LVEtransmission1597_electricity,1,1
LVEtransmission1597_to_LVEtransmission2938_electricity,1,1
LVEtransmission2938_to_LVEtransmission4360_electricity,1,1
LVEtransmission4360_to_LVEtransmission2032_electricity,1,1
LVEtransmission898_to_LVEtransmission4909_electricity,1,1
LVEtransmission4909_to_LVEtransmission294_electricity,1,1
LVEtransmission294_to_LVEtransmission3318_electricity,1,1
LVEtransmission3318_to_LVEtransmission1736_electricity,1,1
LVEtransmission3573_to_LVEtransmission1779_electricity,1,1
LVEtransmission1779_to_LVEtransmission4888_electricity,1,1
LVEtransmission4888_to_LVEtransmission481_electricity,1,1
LVEtransmission481_to_LVEtransmission722_electricity,1,1
LVEtransmission722_to_LVEtransmission1752_electricity,1,1
LVEtransmission1752_to_LVEtransmission1603_electricity,1,1
LVEtransmission1603_to_LVEtransmission1449_electricity,1,1
LVEtransmission1449_to_LVEtransmission2614_electricity,1,1
LVEtransmission2614_to_LVEtransmission4514_electricity,1,1
LVEtransmission4514_to_LVEtransmission3897_electricity,1,1
LVEtransmission3897_to_LVEtransmission3744_electricity,1,1
LVEtransmission3744_to_LVEtransmission3457_electricity,1,1
LVEtransmission3457_to_LVEtransmission1796_electricity,1,1
LVEtransmission1796_to_LVEtransmission4334_electricity,1,1
LVEtransmission4334_to_LVEtransmission349_electricity,1,1
LVEtransmission349_to_LVEtransmission207_electricity,1,1
LVEtransmission207_to_LVEtransmission3829_electricity,1,1
LVEtransmission3829_to_LVEtransmission351_electricity,1,1
LVEtransmission351_to_LVEtransmission4915_electricity,1,1
LVEtransmission4915_to_LVEtransmission1526_electricity,1,1
LVEtransmission1526_to_LVEtransmission3722_electricity,1,1
LVEtransmission3722_to_LVEtransmission3411_electricity,1,1
LVEtransmission3411_to_LVEtransmission68_electricity,1,1
LVEtransmission68_to_LVEtransmission2138_electricity,1,1
LVEtransmission2138_to_LVEtransmission3939_electricity,1,1
LVEtransmission898_to_LVEtransmission1882_electricity,1,1
LVEtransmission1882_to_LVEtransmission2770_electricity,1,1
