techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from,distance
geothermie_delft_to_warmtenet1,#823739,Heat transmission main,transmission,100000,1,20,geothermie_delft,warmtenet1,
warmtenet1_to_warmtenet2,#823740,Heat transmission main,transmission,100000,1,20,warmtenet1,warmtenet2,
warmtenet2_to_warmtenet3,#823741,Heat transmission main,transmission,100000,1,20,warmtenet2,warmtenet3,
warmtenet3_to_warmtenet4,#823742,Heat transmission main,transmission,100000,1,20,warmtenet3,warmtenet4,
warmtenet4_to_warmtenet5,#823743,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet5,
warmtenet5_to_warmtenet6,#823744,Heat transmission main,transmission,100000,1,20,warmtenet5,warmtenet6,
warmtenet6_to_warmtenet7,#823745,Heat transmission main,transmission,100000,1,20,warmtenet6,warmtenet7,
warmtenet7_to_warmtenet8,#823746,Heat transmission main,transmission,100000,1,20,warmtenet7,warmtenet8,
warmtenet8_to_warmtenet9,#823747,Heat transmission main,transmission,100000,1,20,warmtenet8,warmtenet9,
warmtenet9_to_warmtenet10,#823748,Heat transmission main,transmission,100000,1,20,warmtenet9,warmtenet10,
warmtenet10_to_warmtenet11,#823749,Heat transmission main,transmission,100000,1,20,warmtenet10,warmtenet11,
warmtenet11_to_warmtenet12,#823750,Heat transmission main,transmission,100000,1,20,warmtenet11,warmtenet12,
warmtenet4_to_warmtenet13,#823751,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet13,
warmtenet13_to_warmtenet14,#823752,Heat transmission main,transmission,100000,1,20,warmtenet13,warmtenet14,
warmtenet14_to_warmtenet15,#823753,Heat transmission main,transmission,100000,1,20,warmtenet14,warmtenet15,
LVEtransmission1225_to_LVEtransmission6_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission6,LVEtransmission1225,
LVEtransmission6_to_LVEtransmission934_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission934,LVEtransmission6,
LVEtransmission934_to_LVEtransmission1171_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1171,LVEtransmission934,
LVEtransmission1171_to_LVEtransmission123_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission123,LVEtransmission1171,
LVEtransmission123_to_LVEtransmission675_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission675,LVEtransmission123,
LVEtransmission675_to_LVEtransmission794_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission794,LVEtransmission675,
LVEtransmission794_to_LVEtransmission1161_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1161,LVEtransmission794,
LVEtransmission1419_to_LVEtransmission1586_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1586,LVEtransmission1419,
LVEtransmission1586_to_LVEtransmission478_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission478,LVEtransmission1586,
LVEtransmission478_to_LVEtransmission1194_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1194,LVEtransmission478,
LVEtransmission1194_to_LVEtransmission684_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission684,LVEtransmission1194,
LVEtransmission1588_to_LVEtransmission1143_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1143,LVEtransmission1588,
LVEtransmission1143_to_LVEtransmission89_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission89,LVEtransmission1143,
LVEtransmission89_to_LVEtransmission1411_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1411,LVEtransmission89,
