techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from,distance
geothermie_delft_to_warmtenet1,#823739,Heat transmission main,transmission,100000,1,20,geothermie_delft,warmtenet1,
warmtenet1_to_warmtenet2,#823740,Heat transmission main,transmission,100000,1,20,warmtenet1,warmtenet2,
warmtenet2_to_warmtenet3,#823741,Heat transmission main,transmission,100000,1,20,warmtenet2,warmtenet3,
warmtenet3_to_warmtenet4,#823742,Heat transmission main,transmission,100000,1,20,warmtenet3,warmtenet4,
warmtenet4_to_warmtenet5,#823743,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet5,
warmtenet5_to_warmtenet6,#823744,Heat transmission main,transmission,100000,1,20,warmtenet5,warmtenet6,
warmtenet6_to_warmtenet7,#823745,Heat transmission main,transmission,100000,1,20,warmtenet6,warmtenet7,
warmtenet7_to_warmtenet8,#823746,Heat transmission main,transmission,100000,1,20,warmtenet7,warmtenet8,
warmtenet8_to_warmtenet9,#823747,Heat transmission main,transmission,100000,1,20,warmtenet8,warmtenet9,
warmtenet9_to_warmtenet10,#823748,Heat transmission main,transmission,100000,1,20,warmtenet9,warmtenet10,
warmtenet10_to_warmtenet11,#823749,Heat transmission main,transmission,100000,1,20,warmtenet10,warmtenet11,
warmtenet11_to_warmtenet12,#823750,Heat transmission main,transmission,100000,1,20,warmtenet11,warmtenet12,
warmtenet4_to_warmtenet13,#823751,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet13,
warmtenet13_to_warmtenet14,#823752,Heat transmission main,transmission,100000,1,20,warmtenet13,warmtenet14,
warmtenet14_to_warmtenet15,#823753,Heat transmission main,transmission,100000,1,20,warmtenet14,warmtenet15,
LVEtransmission1838_to_LVEtransmission10_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission10,LVEtransmission1838,
LVEtransmission10_to_LVEtransmission1389_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1389,LVEtransmission10,
LVEtransmission1389_to_LVEtransmission1754_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1754,LVEtransmission1389,
LVEtransmission1754_to_LVEtransmission170_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission170,LVEtransmission1754,
LVEtransmission170_to_LVEtransmission1517_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1517,LVEtransmission170,
LVEtransmission1517_to_LVEtransmission1019_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1019,LVEtransmission1517,
LVEtransmission1019_to_LVEtransmission166_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission166,LVEtransmission1019,
LVEtransmission166_to_LVEtransmission1183_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1183,LVEtransmission166,
LVEtransmission1183_to_LVEtransmission1740_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1740,LVEtransmission1183,
LVEtransmission2142_to_LVEtransmission2393_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission2393,LVEtransmission2142,
LVEtransmission2393_to_LVEtransmission693_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission693,LVEtransmission2393,
LVEtransmission693_to_LVEtransmission1790_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1790,LVEtransmission693,
LVEtransmission1790_to_LVEtransmission1031_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1031,LVEtransmission1790,
