File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,LV electricity distribution main,Acidification,1622.8170079697804,mol H+-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change,171012.92737789993,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: biogenic,311.2341924129992,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: fossil,170320.16070182092,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: land use and land use change,381.53248366600593,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Ecotoxicity: freshwater,10316830.035670275,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, inorganics",834486.7361377707,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, metals",9465615.40036818,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, organics",16727.899164324506,CTUe
bill_of_materials.csv,LV electricity distribution main,Energy resources: non-renewable,2079261.9805592664,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution main,Eutrophication: freshwater,91.84732892053754,kg P-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: marine,236.13463144335014,kg N-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: terrestrial,2599.7008963293174,mol N-Eq
bill_of_materials.csv,LV electricity distribution main,Human toxicity: carcinogenic,0.00014384322708159127,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, metals",7.794801112400015e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, organics",6.589521595759113e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,Human toxicity: non-carcinogenic,0.008396475977975352,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, inorganics",0.0009128438832515277,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, metals",0.007065076383243077,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, organics",0.00043879680077662516,CTUh
bill_of_materials.csv,LV electricity distribution main,Ionising radiation: human health,5768.140292550359,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution main,Land use,1144732.2984988103,dimensionless
bill_of_materials.csv,LV electricity distribution main,Material resources: metals/minerals,8.148293777828997,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution main,Ozone depletion,0.0016787668717009889,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution main,Particulate matter formation,0.016086934827973888,disease incidence
bill_of_materials.csv,LV electricity distribution main,Photochemical oxidant formation: human health,843.8595160707079,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution main,Water use,77122.53328665324,m3 world Eq deprived
bill_of_materials.csv,LV electricity distribution secondary,Acidification,526.3162493184437,mol H+-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change,80735.90951350213,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: biogenic,103.59033945040022,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: fossil,80438.54585477295,kg CO2-Eq
