File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,LV electricity distribution main,Acidification,968.4417853323127,mol H+-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change,102054.67646161257,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: biogenic,185.733940103318,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: fossil,101641.25696125865,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: land use and land use change,227.68556025058498,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Ecotoxicity: freshwater,6156731.935669101,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, inorganics",497993.1936949759,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, metals",5648756.102864478,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, organics",9982.63910964567,CTUe
bill_of_materials.csv,LV electricity distribution main,Energy resources: non-renewable,1240832.5613653602,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution main,Eutrophication: freshwater,54.81135011586319,kg P-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: marine,140.9170861105763,kg N-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: terrestrial,1551.4127378544558,mol N-Eq
bill_of_materials.csv,LV electricity distribution main,Human toxicity: carcinogenic,8.58407269326889e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, metals",4.651671179516942e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, organics",3.9324015137519464e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,Human toxicity: non-carcinogenic,0.005010730197351822,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, inorganics",0.0005447540638804124,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, metals",0.004216196374880785,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, organics",0.00026185894962602843,CTUh
bill_of_materials.csv,LV electricity distribution main,Ionising radiation: human health,3442.229194992963,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution main,Land use,683137.153136364,dimensionless
bill_of_materials.csv,LV electricity distribution main,Material resources: metals/minerals,4.862623533558515,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution main,Ozone depletion,0.0010018307538080223,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution main,Particulate matter formation,0.009600133477044314,disease incidence
bill_of_materials.csv,LV electricity distribution main,Photochemical oxidant formation: human health,503.5865487603976,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution main,Water use,46024.09480469765,m3 world Eq deprived
bill_of_materials.csv,LV electricity distribution secondary,Acidification,546.136502077126,mol H+-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change,83776.29851029233,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: biogenic,107.49139079343463,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: fossil,83467.73659788033,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: land use and land use change,201.07052161857155,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Ecotoxicity: freshwater,2601649.8723766934,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, inorganics",146826.49642287008,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, metals",2446634.380543433,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, organics",8188.995410391695,CTUe
bill_of_materials.csv,LV electricity distribution secondary,Energy resources: non-renewable,955539.1525720111,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: freshwater,22.650679537287136,kg P-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: marine,105.99803964105779,kg N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: terrestrial,1122.870229953355,mol N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: carcinogenic,4.5351687410817816e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, metals",9.55607954395673e-06,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, organics",3.579560786686109e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: non-carcinogenic,0.001126170725210127,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, inorganics",0.00046853025796425303,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, metals",0.0006401067221674742,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, organics",2.700007396499963e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,Ionising radiation: human health,1669.6736892621045,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution secondary,Land use,411450.1380322727,dimensionless
bill_of_materials.csv,LV electricity distribution secondary,Material resources: metals/minerals,0.25890301382858,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution secondary,Ozone depletion,0.0007227711096275406,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution secondary,Particulate matter formation,0.0077361983760834965,disease incidence
bill_of_materials.csv,LV electricity distribution secondary,Photochemical oxidant formation: human health,367.0493003976198,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution secondary,Water use,32302.56596137376,m3 world Eq deprived
bill_of_materials.csv,Low-voltage electricity supply,Acidification,603.1959201522536,mol H+-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change,21405.353116457387,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: biogenic,50.68909365110905,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: fossil,21328.601257666858,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: land use and land use change,26.06276513941975,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Ecotoxicity: freshwater,5398077.519661156,CTUe
bill_of_materials.csv,Low-voltage electricity supply,"Ecotoxicity: freshwater, inorganics",550464.8978975661,CTUe
bill_of_materials.csv,Low-voltage electricity supply,"Ecotoxicity: freshwater, metals",4837007.788711254,CTUe
bill_of_materials.csv,Low-voltage electricity supply,"Ecotoxicity: freshwater, organics",10604.833052340258,CTUe
bill_of_materials.csv,Low-voltage electricity supply,Energy resources: non-renewable,278418.8765212998,"MJ, net calorific value"
bill_of_materials.csv,Low-voltage electricity supply,Eutrophication: freshwater,49.73343302047953,kg P-Eq
bill_of_materials.csv,Low-voltage electricity supply,Eutrophication: marine,39.569035501183066,kg N-Eq
bill_of_materials.csv,Low-voltage electricity supply,Eutrophication: terrestrial,504.2712147451473,mol N-Eq
bill_of_materials.csv,Low-voltage electricity supply,Human toxicity: carcinogenic,7.05968131872746e-05,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: carcinogenic, metals",5.831963437306269e-05,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: carcinogenic, organics",1.2277178814211913e-05,CTUh
bill_of_materials.csv,Low-voltage electricity supply,Human toxicity: non-carcinogenic,0.006215342531338465,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: non-carcinogenic, inorganics",0.00037468985849433236,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: non-carcinogenic, metals",0.005485749413081671,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: non-carcinogenic, organics",0.00035751807853501175,CTUh
bill_of_materials.csv,Low-voltage electricity supply,Ionising radiation: human health,1830.6119275397518,kBq U235-Eq
bill_of_materials.csv,Low-voltage electricity supply,Land use,217684.10348647012,dimensionless
bill_of_materials.csv,Low-voltage electricity supply,Material resources: metals/minerals,7.068768901013808,kg Sb-Eq
bill_of_materials.csv,Low-voltage electricity supply,Ozone depletion,0.0002594653335219635,kg CFC-11-Eq
bill_of_materials.csv,Low-voltage electricity supply,Particulate matter formation,0.0028251318499184818,disease incidence
bill_of_materials.csv,Low-voltage electricity supply,Photochemical oxidant formation: human health,154.3811386524508,kg NMVOC-Eq
bill_of_materials.csv,Low-voltage electricity supply,Water use,11101.042121630113,m3 world Eq deprived
bill_of_materials.csv,Air-to-air heat pump,Acidification,3489.9865500969704,mol H+-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change,10668539.129630469,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change: biogenic,949.6663367765052,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change: fossil,10667202.572404778,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change: land use and land use change,386.8908889145099,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Ecotoxicity: freshwater,28219283.078734238,CTUe
bill_of_materials.csv,Air-to-air heat pump,"Ecotoxicity: freshwater, inorganics",3194142.79756466,CTUe
bill_of_materials.csv,Air-to-air heat pump,"Ecotoxicity: freshwater, metals",24955583.392835442,CTUe
bill_of_materials.csv,Air-to-air heat pump,"Ecotoxicity: freshwater, organics",69556.88833410667,CTUe
bill_of_materials.csv,Air-to-air heat pump,Energy resources: non-renewable,7508977.6644092845,"MJ, net calorific value"
bill_of_materials.csv,Air-to-air heat pump,Eutrophication: freshwater,282.3266685014622,kg P-Eq
bill_of_materials.csv,Air-to-air heat pump,Eutrophication: marine,519.920826275255,kg N-Eq
bill_of_materials.csv,Air-to-air heat pump,Eutrophication: terrestrial,5653.547043979766,mol N-Eq
bill_of_materials.csv,Air-to-air heat pump,Human toxicity: carcinogenic,0.0007671594875972831,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: carcinogenic, metals",0.00024805121623452426,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: carcinogenic, organics",0.0005191082713627585,CTUh
bill_of_materials.csv,Air-to-air heat pump,Human toxicity: non-carcinogenic,0.02409798505932666,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: non-carcinogenic, inorganics",0.006021784888245086,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: non-carcinogenic, metals",0.01706763868110333,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: non-carcinogenic, organics",0.0010789220417164805,CTUh
bill_of_materials.csv,Air-to-air heat pump,Ionising radiation: human health,26776.09662723238,kBq U235-Eq
bill_of_materials.csv,Air-to-air heat pump,Land use,2196780.1353818816,dimensionless
bill_of_materials.csv,Air-to-air heat pump,Material resources: metals/minerals,18.84901015562277,kg Sb-Eq
bill_of_materials.csv,Air-to-air heat pump,Ozone depletion,5.751045202162602,kg CFC-11-Eq
bill_of_materials.csv,Air-to-air heat pump,Particulate matter formation,0.04121474239889704,disease incidence
bill_of_materials.csv,Air-to-air heat pump,Photochemical oxidant formation: human health,2227.7494839164483,kg NMVOC-Eq
bill_of_materials.csv,Air-to-air heat pump,Water use,206631.90874025176,m3 world Eq deprived
bill_of_materials.csv,Geothermal heat supply,Acidification,48447.32511389662,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,8660291.337293778,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,5986.27633857009,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,8650757.428856643,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,3547.632098562194,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,2652665391.015364,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",25148870.878779963,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",1785858816.1649435,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",841657703.9716424,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,124107973.92789736,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,2226.5964928008634,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,14152.03633815241,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,177353.78620773944,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.00553642369423301,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0022418811039454085,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.003294542590287601,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.2275547801194422,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.09704202795706349,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.12770310876146568,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.00394111544771177,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,254817.85102281516,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,18530889.01153885,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,51.93248510125684,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.18973392249347656,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.44114185564099506,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,52215.236330309,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,3087077.096367941,m3 world Eq deprived
bill_of_materials.csv,HQ to LQ heat conversion substation,Acidification,21843.807116035743,mol H+-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change,3889992.5444771065,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: biogenic,6757.609211376375,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: fossil,3878925.2617458124,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: land use and land use change,4309.673519917853,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ecotoxicity: freshwater,224909620.45935005,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, inorganics",45810616.51830887,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, metals",178739734.2556752,CTUe
