File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,48247.28769168718,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,8624533.277367426,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,5961.559199190657,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,8615038.734126676,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,3532.9840415585204,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,2641712622.3009877,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",25045032.01274883,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",1778485063.4721825,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",838182526.8160539,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,123595536.15921128,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,2217.4029486439185,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,14093.60304257947,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,176621.49822014308,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.00551356398172153,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0022326244501285277,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.0032809395315930028,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.2266152138684775,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.09664134459481653,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.12717582679853529,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.003924842710817908,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,253765.71644300662,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,18454375.57637184,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,51.71805756734937,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.18895051732772072,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.4393203953349069,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,51999.64132581667,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,3074330.6559181,m3 world Eq deprived
bill_of_materials.csv,HQ to LQ heat conversion substation,Acidification,21334.834524553833,mol H+-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change,3799353.6015634276,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: biogenic,6600.153239792953,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: fossil,3788544.1925417148,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: land use and land use change,4209.255781919092,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ecotoxicity: freshwater,219669103.92455745,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, inorganics",44743204.22690519,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, metals",174575001.1914416,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, organics",350898.5062106876,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,Energy resources: non-renewable,42669676.27869723,"MJ, net calorific value"
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: freshwater,3754.0715516715354,kg P-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: marine,3924.0061945244734,kg N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: terrestrial,41037.11560541598,mol N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: carcinogenic,0.0051002350662130444,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, metals",0.00397828949503486,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, organics",0.0011219455711781877,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: non-carcinogenic,0.0927454900416699,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, inorganics",0.014852854459997733,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, metals",0.07694908761064977,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, organics",0.0013693671907910611,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,Ionising radiation: human health,242094.6096791953,kBq U235-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Land use,20522156.427058626,dimensionless
bill_of_materials.csv,HQ to LQ heat conversion substation,Material resources: metals/minerals,103.57773802096726,kg Sb-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ozone depletion,0.026848580030363965,kg CFC-11-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Particulate matter formation,0.32921034154357454,disease incidence
bill_of_materials.csv,HQ to LQ heat conversion substation,Photochemical oxidant formation: human health,12845.06225801274,kg NMVOC-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Water use,1451315.7056538227,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN455.0,Acidification,11175.459340320444,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN455.0,Climate change,3083523.061871101,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN455.0,Climate change: biogenic,2523.7468591242273,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN455.0,Climate change: fossil,3077760.6025119363,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN455.0,Climate change: land use and land use change,3238.712500040308,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN455.0,Ecotoxicity: freshwater,106452287.814522,CTUe
bill_of_materials.csv,Heat pipe_DN455.0,"Ecotoxicity: freshwater, inorganics",24278053.28403656,CTUe
bill_of_materials.csv,Heat pipe_DN455.0,"Ecotoxicity: freshwater, metals",79875526.56840938,CTUe
bill_of_materials.csv,Heat pipe_DN455.0,"Ecotoxicity: freshwater, organics",2298707.9620760554,CTUe
bill_of_materials.csv,Heat pipe_DN455.0,Energy resources: non-renewable,39286633.09356648,"MJ, net calorific value"
bill_of_materials.csv,Heat pipe_DN455.0,Eutrophication: freshwater,992.8332964534368,kg P-Eq
bill_of_materials.csv,Heat pipe_DN455.0,Eutrophication: marine,3273.5968651139365,kg N-Eq
bill_of_materials.csv,Heat pipe_DN455.0,Eutrophication: terrestrial,30546.635419915096,mol N-Eq
bill_of_materials.csv,Heat pipe_DN455.0,Human toxicity: carcinogenic,0.0028259110635208574,CTUh
