File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,LV electricity distribution main,Acidification,1622.7630066629588,mol H+-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change,171007.236704511,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: biogenic,311.2238356980796,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: fossil,170314.49308112718,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: land use and land use change,381.5197876857369,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Ecotoxicity: freshwater,10316486.729985487,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, inorganics",834458.9675267348,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, metals",9465300.419936614,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, organics",16727.34252213327,CTUe
bill_of_materials.csv,LV electricity distribution main,Energy resources: non-renewable,2079192.7904635086,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution main,Eutrophication: freshwater,91.84427258346092,kg P-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: marine,236.12677376215646,kg N-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: terrestrial,2599.6143879645024,mol N-Eq
bill_of_materials.csv,LV electricity distribution main,Human toxicity: carcinogenic,0.00014383844051465123,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, metals",7.794541730446022e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, organics",6.5893023210191e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,Human toxicity: non-carcinogenic,0.008396196574522403,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, inorganics",0.0009128135072064296,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, metals",0.007064841283810649,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, organics",0.00043878219925312884,CTUh
bill_of_materials.csv,LV electricity distribution main,Ionising radiation: human health,5767.948350321376,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution main,Land use,1144694.2060707808,dimensionless
