File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,28939.949182331573,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,5173214.22010929,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,3575.894698465392,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,5167519.151805086,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,2119.173605738426,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,1584566360.1290178,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",15022646.627319079,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",1066780534.6348739,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",502763178.8668243,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,74135743.30784345,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,1330.0546356217988,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,8453.701241292332,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,105942.06280903314,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.00330717578289995,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0013391848790099531,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.0019679909038899978,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.13592956385871396,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.05796793426727817,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.07628329261304241,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.0023542203931866752,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,152215.12523166987,kBq U235-Eq
