File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,LV electricity distribution main,Acidification,1266.5021459863274,mol H+-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change,133464.36378952902,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: biogenic,242.89785641852527,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: fossil,132923.70487505317,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: land use and land use change,297.7610580573156,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Ecotoxicity: freshwater,8051608.601452283,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, inorganics",651262.1182334152,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, metals",7387291.456012852,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, organics",13055.027206033792,CTUe
bill_of_materials.csv,LV electricity distribution main,Energy resources: non-renewable,1622727.4840683239,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution main,Eutrophication: freshwater,71.68081096617315,kg P-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: marine,184.28757894202607,kg N-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: terrestrial,2028.8958939632776,mol N-Eq
bill_of_materials.csv,LV electricity distribution main,Human toxicity: carcinogenic,0.00011226019624501373,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, metals",6.083330583737044e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, organics",5.142689040764327e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,Human toxicity: non-carcinogenic,0.00655289831977558,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, inorganics",0.000712414727853332,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, metals",0.0055138283349204864,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, organics",0.00034245209848446346,CTUh
bill_of_materials.csv,LV electricity distribution main,Ionising radiation: human health,4501.654852634656,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution main,Land use,893388.4137943417,dimensionless
bill_of_materials.csv,LV electricity distribution main,Material resources: metals/minerals,6.359208404315423,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution main,Ozone depletion,0.0013101673418372535,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution main,Particulate matter formation,0.012554796617186111,disease incidence
bill_of_materials.csv,LV electricity distribution main,Photochemical oxidant formation: human health,658.5769577012202,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution main,Water use,60189.074573260106,m3 world Eq deprived
bill_of_materials.csv,LV electricity distribution secondary,Acidification,1312.062337805225,mol H+-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change,201267.86189537594,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: biogenic,258.2420419839503,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: fossil,200526.55919427983,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: land use and land use change,483.0606591121471,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Ecotoxicity: freshwater,6250318.007894616,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, inorganics",352742.4287072024,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, metals",5877901.976669413,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, organics",19673.602517997297,CTUe
bill_of_materials.csv,LV electricity distribution secondary,Energy resources: non-renewable,2295629.2604866074,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: freshwater,54.41698812208844,kg P-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: marine,254.65434953581774,kg N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: terrestrial,2697.6327957592425,mol N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: carcinogenic,0.00010895488725133066,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, metals",2.295794553011932e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, organics",8.599694172121137e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: non-carcinogenic,0.002705562050636077,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, inorganics",0.0011256176857965233,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, metals",0.0015378205249743388,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, organics",6.486616447114632e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,Ionising radiation: human health,4011.2974609335583,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution secondary,Land use,988485.8967377138,dimensionless
bill_of_materials.csv,LV electricity distribution secondary,Material resources: metals/minerals,0.6219999804019192,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution secondary,Ozone depletion,0.0017364170828890401,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution secondary,Particulate matter formation,0.018585783020259733,disease incidence
bill_of_materials.csv,LV electricity distribution secondary,Photochemical oxidant formation: human health,881.81537278287,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution secondary,Water use,77605.10431218553,m3 world Eq deprived
bill_of_materials.csv,Low-voltage electricity supply,Acidification,1419.7023634921409,mol H+-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change,50380.36464694244,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: biogenic,119.3035689657678,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: fossil,50199.718870525685,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: land use and land use change,61.34220745099756,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Ecotoxicity: freshwater,12705098.222551564,CTUe
bill_of_materials.csv,Low-voltage electricity supply,"Ecotoxicity: freshwater, inorganics",1295592.842152144,CTUe
bill_of_materials.csv,Low-voltage electricity supply,"Ecotoxicity: freshwater, metals",11384545.485867897,CTUe
bill_of_materials.csv,Low-voltage electricity supply,"Ecotoxicity: freshwater, organics",24959.894531526068,CTUe
bill_of_materials.csv,Low-voltage electricity supply,Energy resources: non-renewable,655296.1050173308,"MJ, net calorific value"
bill_of_materials.csv,Low-voltage electricity supply,Eutrophication: freshwater,117.05429371261502,kg P-Eq
bill_of_materials.csv,Low-voltage electricity supply,Eutrophication: marine,93.13102318058554,kg N-Eq
bill_of_materials.csv,Low-voltage electricity supply,Eutrophication: terrestrial,1186.8698237117303,mol N-Eq
bill_of_materials.csv,Low-voltage electricity supply,Human toxicity: carcinogenic,0.00016615905245461325,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: carcinogenic, metals",0.000137263068252411,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: carcinogenic, organics",2.889598420220223e-05,CTUh
bill_of_materials.csv,Low-voltage electricity supply,Human toxicity: non-carcinogenic,0.01462864085590498,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: non-carcinogenic, inorganics",0.0008818827513731698,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: non-carcinogenic, metals",0.012911445762617008,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: non-carcinogenic, organics",0.0008414666680093104,CTUh
bill_of_materials.csv,Low-voltage electricity supply,Ionising radiation: human health,4308.590282754393,kBq U235-Eq
bill_of_materials.csv,Low-voltage electricity supply,Land use,512348.68454747443,dimensionless
bill_of_materials.csv,Low-voltage electricity supply,Material resources: metals/minerals,16.63729408716156,kg Sb-Eq
bill_of_materials.csv,Low-voltage electricity supply,Ozone depletion,0.000610686403768165,kg CFC-11-Eq
bill_of_materials.csv,Low-voltage electricity supply,Particulate matter formation,0.006649326082135663,disease incidence
bill_of_materials.csv,Low-voltage electricity supply,Photochemical oxidant formation: human health,363.35668080807045,kg NMVOC-Eq
bill_of_materials.csv,Low-voltage electricity supply,Water use,26127.789016421146,m3 world Eq deprived
bill_of_materials.csv,Air-to-air heat pump,Acidification,8196.340493575732,mol H+-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change,25055391.480823267,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change: biogenic,2230.3205298286084,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change: fossil,25052252.53517013,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change: land use and land use change,908.62512330238,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Ecotoxicity: freshwater,66273852.141773775,CTUe
bill_of_materials.csv,Air-to-air heat pump,"Ecotoxicity: freshwater, inorganics",7501542.363598814,CTUe
bill_of_materials.csv,Air-to-air heat pump,"Ecotoxicity: freshwater, metals",58608953.291759804,CTUe
bill_of_materials.csv,Air-to-air heat pump,"Ecotoxicity: freshwater, organics",163356.48641514746,CTUe
bill_of_materials.csv,Air-to-air heat pump,Energy resources: non-renewable,17635064.437266517,"MJ, net calorific value"
bill_of_materials.csv,Air-to-air heat pump,Eutrophication: freshwater,663.0528433957926,kg P-Eq
bill_of_materials.csv,Air-to-air heat pump,Eutrophication: marine,1221.0500128531482,kg N-Eq
bill_of_materials.csv,Air-to-air heat pump,Eutrophication: terrestrial,13277.528696383986,mol N-Eq
bill_of_materials.csv,Air-to-air heat pump,Human toxicity: carcinogenic,0.0018016975948086976,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: carcinogenic, metals",0.0005825558920985663,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: carcinogenic, organics",0.0012191417027101316,CTUh
bill_of_materials.csv,Air-to-air heat pump,Human toxicity: non-carcinogenic,0.056594857292459715,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: non-carcinogenic, inorganics",0.014142346572010203,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: non-carcinogenic, metals",0.040083873116290226,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: non-carcinogenic, organics",0.0025338815187372246,CTUh
bill_of_materials.csv,Air-to-air heat pump,Ionising radiation: human health,62884.48448020046,kBq U235-Eq
bill_of_materials.csv,Air-to-air heat pump,Land use,5159205.550122538,dimensionless
bill_of_materials.csv,Air-to-air heat pump,Material resources: metals/minerals,44.26747868070104,kg Sb-Eq
bill_of_materials.csv,Air-to-air heat pump,Ozone depletion,13.506506112340187,kg CFC-11-Eq
bill_of_materials.csv,Air-to-air heat pump,Particulate matter formation,0.09679408708523114,disease incidence
bill_of_materials.csv,Air-to-air heat pump,Photochemical oxidant formation: human health,5231.93801536555,kg NMVOC-Eq
bill_of_materials.csv,Air-to-air heat pump,Water use,485281.3776103262,m3 world Eq deprived
bill_of_materials.csv,Geothermal heat supply,Acidification,13469.084397165892,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,2407691.1295273104,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,1664.27477759407,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,2405040.559716228,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,986.295033488294,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,737480840.1708539,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",6991764.015110779,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",496495586.90390456,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",233993489.25183922,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,34503881.716198735,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,619.0272839514517,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,3934.478763940206,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,49307.01765212125,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.00153920898255544,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0006232766355307148,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.0009159323470247256,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.06326364832736962,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.026979142017706577,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.03550338322383996,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.0010956893174062499,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,70843.1917192939,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,5151865.607939151,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,14.438011244974783,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.05274888157523759,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.1226440648845358,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,14516.620335539696,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,858253.8221415862,m3 world Eq deprived
bill_of_materials.csv,HQ to LQ heat conversion substation,Acidification,5802.2243908150385,mol H+-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change,1033272.7029568234,kg CO2-Eq
