File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,LV electricity distribution main,Acidification,1704.623536998606,mol H+-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change,179633.72315409553,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: biogenic,326.9235701255541,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: fossil,178906.033971709,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: land use and land use change,400.765612261022,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Ecotoxicity: freshwater,10836903.495372513,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, inorganics",876553.3789377674,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, metals",9942778.96053731,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, organics",17571.155897435485,CTUe
bill_of_materials.csv,LV electricity distribution main,Energy resources: non-renewable,2184077.9916903973,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution main,Eutrophication: freshwater,96.4773710895914,kg P-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: marine,248.03822530945556,kg N-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: terrestrial,2730.7523370015356,mol N-Eq
bill_of_materials.csv,LV electricity distribution main,Human toxicity: carcinogenic,0.00015109439284708397,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, metals",8.187738591082963e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, organics",6.921700693625434e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,Human toxicity: non-carcinogenic,0.008819744006630896,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, inorganics",0.000958860525465195,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, metals",0.007421228292791829,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, organics",0.0004609166350180686,CTUh
bill_of_materials.csv,LV electricity distribution main,Ionising radiation: human health,6058.913395104399,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution main,Land use,1202438.4819732674,dimensionless
bill_of_materials.csv,LV electricity distribution main,Material resources: metals/minerals,8.559050892277327,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution main,Ozone depletion,0.0017633938445192272,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution main,Particulate matter formation,0.01689788042105455,disease incidence
bill_of_materials.csv,LV electricity distribution main,Photochemical oxidant formation: human health,886.398642576444,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution main,Water use,81010.29557106734,m3 world Eq deprived
bill_of_materials.csv,LV electricity distribution secondary,Acidification,673.7142955608844,mol H+-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change,103346.48887392855,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: biogenic,132.60144002795766,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: fossil,102965.84672555185,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: land use and land use change,248.0407083487439,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Ecotoxicity: freshwater,3209396.7431182633,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, inorganics",181125.24841497818,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, metals",3018169.5453677634,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, organics",10101.949335523872,CTUe
bill_of_materials.csv,LV electricity distribution secondary,Energy resources: non-renewable,1178753.6350481554,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: freshwater,27.941890993185574,kg P-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: marine,130.75924120802486,kg N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: terrestrial,1385.1733460446844,mol N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: carcinogenic,5.594586705021535e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, metals",1.1788385090164502e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, organics",4.415748196005086e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: non-carcinogenic,0.0013892448388463207,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, inorganics",0.0005779791892554528,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, metals",0.0007896360118187912,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, organics",3.330730640094202e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,Ionising radiation: human health,2059.7104004209277,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution secondary,Land use,507565.1212628429,dimensionless
bill_of_materials.csv,LV electricity distribution secondary,Material resources: metals/minerals,0.3193829032059077,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution secondary,Ozone depletion,0.0008916108465969395,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution secondary,Particulate matter formation,0.009543378659803092,disease incidence
bill_of_materials.csv,LV electricity distribution secondary,Photochemical oxidant formation: human health,452.79222303030696,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution secondary,Water use,39848.463504463856,m3 world Eq deprived
bill_of_materials.csv,Low-voltage electricity supply,Acidification,1275.1341908735276,mol H+-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change,45250.13633982578,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: biogenic,107.15489654274322,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: fossil,45087.88570767263,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: land use and land use change,55.09573561040057,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Ecotoxicity: freshwater,11411339.135994654,CTUe
bill_of_materials.csv,Low-voltage electricity supply,"Ecotoxicity: freshwater, inorganics",1163662.7316837974,CTUe
bill_of_materials.csv,Low-voltage electricity supply,"Ecotoxicity: freshwater, metals",10225258.17374635,CTUe
bill_of_materials.csv,Low-voltage electricity supply,"Ecotoxicity: freshwater, organics",22418.230564509668,CTUe
bill_of_materials.csv,Low-voltage electricity supply,Energy resources: non-renewable,588567.3575963404,"MJ, net calorific value"
bill_of_materials.csv,Low-voltage electricity supply,Eutrophication: freshwater,105.13466479999553,kg P-Eq
bill_of_materials.csv,Low-voltage electricity supply,Eutrophication: marine,83.64749890004475,kg N-Eq
bill_of_materials.csv,Low-voltage electricity supply,Eutrophication: terrestrial,1066.0109690936938,mol N-Eq
bill_of_materials.csv,Low-voltage electricity supply,Human toxicity: carcinogenic,0.00014923909007720564,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: carcinogenic, metals",0.00012328558152310557,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: carcinogenic, organics",2.595350855410007e-05,CTUh
bill_of_materials.csv,Low-voltage electricity supply,Human toxicity: non-carcinogenic,0.013139007584301358,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: non-carcinogenic, inorganics",0.0007920807047552484,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: non-carcinogenic, metals",0.011596674323359462,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: non-carcinogenic, organics",0.0007557801877710506,CTUh
bill_of_materials.csv,Low-voltage electricity supply,Ionising radiation: human health,3869.8468955785306,kBq U235-Eq
bill_of_materials.csv,Low-voltage electricity supply,Land use,460176.2609654027,dimensionless
bill_of_materials.csv,Low-voltage electricity supply,Material resources: metals/minerals,14.943119825464121,kg Sb-Eq
bill_of_materials.csv,Low-voltage electricity supply,Ozone depletion,0.0005485002584844212,kg CFC-11-Eq
bill_of_materials.csv,Low-voltage electricity supply,Particulate matter formation,0.005972225764802175,disease incidence
bill_of_materials.csv,Low-voltage electricity supply,Photochemical oxidant formation: human health,326.3561004723611,kg NMVOC-Eq
bill_of_materials.csv,Low-voltage electricity supply,Water use,23467.198451947144,m3 world Eq deprived
bill_of_materials.csv,Air-to-air heat pump,Acidification,7397.6439216639665,mol H+-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change,22613856.103013363,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change: biogenic,2012.985810409037,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change: fossil,22611023.03351735,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change: land use and land use change,820.0836856079196,kg CO2-Eq
