File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,24240.78655201507,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,4333206.700102972,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,2995.2540542435804,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,4328436.376067792,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,1775.0699809359728,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,1327270295.8594604,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",12583324.457304802,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",893560630.497455,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",421126340.9046993,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,62097853.665119216,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,1114.0852501672782,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,7081.020290449667,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,88739.57985392156,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.0027701687289836577,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0011217329581762246,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.0016484357708074333,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.11385782064950117,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.04855531406019975,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.06389669180368233,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.001971950734539664,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,127498.99239566934,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,9271994.358651288,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,25.98459839621094,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.09493402382955643,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.2207268520318332,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,26126.07395083984,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,1544629.693935464,m3 world Eq deprived
bill_of_materials.csv,HQ to LQ heat conversion substation,Acidification,9973.380595970988,mol H+-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change,1776081.2460699233,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: biogenic,3085.369149520634,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: fossil,1771028.1789806527,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: land use and land use change,1967.6979397499442,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ecotoxicity: freshwater,102688566.72378288,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, inorganics",20916075.272325814,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, metals",81608457.16523051,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, organics",164034.28622655594,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,Energy resources: non-renewable,19946764.571553282,"MJ, net calorific value"
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: freshwater,1754.913276980784,kg P-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: marine,1834.3525089871196,kg N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: terrestrial,19183.592543108,mol N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: carcinogenic,0.0023842034202664498,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
