File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,LV electricity distribution main,Acidification,1266.5021459863274,mol H+-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change,133464.36378952902,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: biogenic,242.89785641852527,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: fossil,132923.70487505317,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: land use and land use change,297.7610580573156,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Ecotoxicity: freshwater,8051608.601452283,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, inorganics",651262.1182334152,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, metals",7387291.456012852,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, organics",13055.027206033792,CTUe
bill_of_materials.csv,LV electricity distribution main,Energy resources: non-renewable,1622727.4840683239,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution main,Eutrophication: freshwater,71.68081096617315,kg P-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: marine,184.28757894202607,kg N-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: terrestrial,2028.8958939632776,mol N-Eq
bill_of_materials.csv,LV electricity distribution main,Human toxicity: carcinogenic,0.00011226019624501373,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, metals",6.083330583737044e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, organics",5.142689040764327e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,Human toxicity: non-carcinogenic,0.00655289831977558,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, inorganics",0.000712414727853332,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, metals",0.0055138283349204864,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, organics",0.00034245209848446346,CTUh
bill_of_materials.csv,LV electricity distribution main,Ionising radiation: human health,4501.654852634656,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution main,Land use,893388.4137943417,dimensionless
bill_of_materials.csv,LV electricity distribution main,Material resources: metals/minerals,6.359208404315423,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution main,Ozone depletion,0.0013101673418372535,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution main,Particulate matter formation,0.012554796617186111,disease incidence
bill_of_materials.csv,LV electricity distribution main,Photochemical oxidant formation: human health,658.5769577012202,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution main,Water use,60189.074573260106,m3 world Eq deprived
bill_of_materials.csv,LV electricity distribution secondary,Acidification,1330.172442328862,mol H+-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change,204045.9174123655,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: biogenic,261.8064994323288,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: fossil,203294.38267502104,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: land use and land use change,489.72823791210885,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Ecotoxicity: freshwater,6336589.7567036515,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, inorganics",357611.25396781816,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, metals",5959033.349859532,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, organics",19945.152876308337,CTUe
bill_of_materials.csv,LV electricity distribution secondary,Energy resources: non-renewable,2327315.32040696,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: freshwater,55.16809370172196,kg P-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: marine,258.16928686357164,kg N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: terrestrial,2734.8676210338585,mol N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: carcinogenic,0.00011045876731832778,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, metals",2.3274828944282365e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, organics",8.718393837404541e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: non-carcinogenic,0.002742906321651562,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, inorganics",0.0011411543362711723,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, metals",0.0015590467195257874,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, organics",6.576149770705424e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,Ionising radiation: human health,4066.66450729999,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution secondary,Land use,1002129.7476388891,dimensionless
bill_of_materials.csv,LV electricity distribution secondary,Material resources: metals/minerals,0.6305853077405746,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution secondary,Ozone depletion,0.0017603844615429797,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution secondary,Particulate matter formation,0.01884231844807607,disease incidence
bill_of_materials.csv,LV electricity distribution secondary,Photochemical oxidant formation: human health,893.9868741753721,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution secondary,Water use,78676.27030039033,m3 world Eq deprived
bill_of_materials.csv,Low-voltage electricity supply,Acidification,1134.8473155610677,mol H+-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change,40271.836581250325,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: biogenic,95.36599956389777,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: fossil,40127.436332504,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: land use and land use change,49.034249182427374,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Ecotoxicity: freshwater,10155893.92718666,CTUe
bill_of_materials.csv,Low-voltage electricity supply,"Ecotoxicity: freshwater, inorganics",1035639.650102362,CTUe
bill_of_materials.csv,Low-voltage electricity supply,"Ecotoxicity: freshwater, metals",9100302.44067534,CTUe
bill_of_materials.csv,Low-voltage electricity supply,"Ecotoxicity: freshwater, organics",19951.836408946427,CTUe
bill_of_materials.csv,Low-voltage electricity supply,Energy resources: non-renewable,523814.7408921029,"MJ, net calorific value"
bill_of_materials.csv,Low-voltage electricity supply,Eutrophication: freshwater,93.56802834919945,kg P-Eq
bill_of_materials.csv,Low-voltage electricity supply,Eutrophication: marine,74.44482334450113,kg N-Eq
bill_of_materials.csv,Low-voltage electricity supply,Eutrophication: terrestrial,948.7312749459629,mol N-Eq
bill_of_materials.csv,Low-voltage electricity supply,Human toxicity: carcinogenic,0.0001328202019544872,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: carcinogenic, metals",0.00010972202944620018,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: carcinogenic, organics",2.3098172508286994e-05,CTUh
bill_of_materials.csv,Low-voltage electricity supply,Human toxicity: non-carcinogenic,0.011693488883680837,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: non-carcinogenic, inorganics",0.0007049380903851627,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: non-carcinogenic, metals",0.010320839029722006,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: non-carcinogenic, organics",0.0006726312598195293,CTUh
bill_of_materials.csv,Low-voltage electricity supply,Ionising radiation: human health,3444.0966233295944,kBq U235-Eq
bill_of_materials.csv,Low-voltage electricity supply,Land use,409548.8915435357,dimensionless
bill_of_materials.csv,Low-voltage electricity supply,Material resources: metals/minerals,13.299117490072316,kg Sb-Eq
bill_of_materials.csv,Low-voltage electricity supply,Ozone depletion,0.0004881557175556402,kg CFC-11-Eq
bill_of_materials.csv,Low-voltage electricity supply,Particulate matter formation,0.00531517735593572,disease incidence
bill_of_materials.csv,Low-voltage electricity supply,Photochemical oxidant formation: human health,290.4512695125208,kg NMVOC-Eq
bill_of_materials.csv,Low-voltage electricity supply,Water use,20885.399636792,m3 world Eq deprived
bill_of_materials.csv,Air-to-air heat pump,Acidification,6571.519568587172,mol H+-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change,20088476.7468965,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change: biogenic,1788.1876695432782,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change: fossil,20085960.057551976,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change: land use and land use change,728.5016749818541,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Ecotoxicity: freshwater,53135898.463061474,CTUe
bill_of_materials.csv,Air-to-air heat pump,"Ecotoxicity: freshwater, inorganics",6014456.387654187,CTUe
bill_of_materials.csv,Air-to-air heat pump,"Ecotoxicity: freshwater, metals",46990468.94807385,CTUe
bill_of_materials.csv,Air-to-air heat pump,"Ecotoxicity: freshwater, organics",130973.1273333742,CTUe
bill_of_materials.csv,Air-to-air heat pump,Energy resources: non-renewable,14139135.768411055,"MJ, net calorific value"
bill_of_materials.csv,Air-to-air heat pump,Eutrophication: freshwater,531.6109962486343,kg P-Eq
bill_of_materials.csv,Air-to-air heat pump,Eutrophication: marine,978.9922783194982,kg N-Eq
bill_of_materials.csv,Air-to-air heat pump,Eutrophication: terrestrial,10645.426421602904,mol N-Eq
bill_of_materials.csv,Air-to-air heat pump,Human toxicity: carcinogenic,0.0014445338148460119,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: carcinogenic, metals",0.00046707154829915613,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: carcinogenic, organics",0.0009774622665468557,CTUh
bill_of_materials.csv,Air-to-air heat pump,Human toxicity: non-carcinogenic,0.04537564202832993,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: non-carcinogenic, inorganics",0.01133880508216444,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: non-carcinogenic, metals",0.032137751814352786,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: non-carcinogenic, organics",0.002031571528527202,CTUh
bill_of_materials.csv,Air-to-air heat pump,Ionising radiation: human health,50418.43010866312,kBq U235-Eq
bill_of_materials.csv,Air-to-air heat pump,Land use,4136458.247136938,dimensionless
bill_of_materials.csv,Air-to-air heat pump,Material resources: metals/minerals,35.49201044420402,kg Sb-Eq
bill_of_materials.csv,Air-to-air heat pump,Ozone depletion,10.829011958453192,kg CFC-11-Eq
bill_of_materials.csv,Air-to-air heat pump,Particulate matter formation,0.07760588251582386,disease incidence
bill_of_materials.csv,Air-to-air heat pump,Photochemical oxidant formation: human health,4194.772420271968,kg NMVOC-Eq
bill_of_materials.csv,Air-to-air heat pump,Water use,389080.4770417661,m3 world Eq deprived
bill_of_materials.csv,Geothermal heat supply,Acidification,11481.010828821149,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,2052309.35640853,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,1418.623284275503,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,2050050.0179259537,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,840.7151983006585,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,628626658.0845912,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",5959760.589735372,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",423211485.0290097,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",199455412.46584573,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,29411014.731142066,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,527.6571696200673,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,3353.7389745712217,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,42029.16745550984,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.0013120175414637822,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0005312793053242021,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.0007807382361395801,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.05392576140291278,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.022996947121570417,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.030262987092015088,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.0009339625877473721,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,60386.54353139315,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,4391436.202287551,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,12.306921432987396,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.04496300288243333,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.10454146662903678,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,12373.927607528067,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,731573.2187377213,m3 world Eq deprived
bill_of_materials.csv,HQ to LQ heat conversion substation,Acidification,4884.5079371617685,mol H+-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change,869843.7666138308,kg CO2-Eq
