File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,36108.45306402846,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,6454633.409343519,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,4461.653511135959,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,6447527.65717847,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,2644.0986539137066,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,1977067744.0058799,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",18743796.930065464,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",1331024965.586314,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",627298981.4894996,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,92499367.9405784,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,1659.5127752423384,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,10547.705960551037,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,132184.19902346644,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.00412637219156698,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0016709046046739359,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.0024554675868930427,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.1695996853927718,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.07232674876245473,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.09517887103164824,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.002937367167930566,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,189919.22447529878,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,13811324.661058329,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,38.70599040026682,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.14141128367569192,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.32878904978847273,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,38916.728752880204,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,2300840.720869142,m3 world Eq deprived
bill_of_materials.csv,HQ to LQ heat conversion substation,Acidification,16349.644062958585,mol H+-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change,2911580.0726455795,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: biogenic,5057.932655039163,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: fossil,2903296.4372683037,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: land use and land use change,3225.7027222369243,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ecotoxicity: freshwater,168340263.2751696,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, inorganics",34288312.03280507,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, metals",133783045.211143,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, organics",268906.0312216591,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,Energy resources: non-renewable,32699293.666209333,"MJ, net calorific value"
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: freshwater,2876.8788239754,kg P-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: marine,3007.1057972108383,kg N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: terrestrial,31448.204238324914,mol N-Eq
