File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,LV electricity distribution main,Acidification,489.34773078397745,mol H+-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change,51567.605919902155,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: biogenic,93.8502277531719,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: fossil,51358.70756646049,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: land use and land use change,115.04812568849506,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Ecotoxicity: freshwater,3110959.117414688,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, inorganics",251632.9251498391,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, metals",2854282.0255740634,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, organics",5044.166690787983,CTUe
bill_of_materials.csv,LV electricity distribution main,Energy resources: non-renewable,626985.1294971278,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution main,Eutrophication: freshwater,27.695841099214984,kg P-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: marine,71.20454462137724,kg N-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: terrestrial,783.919399469045,mol N-Eq
bill_of_materials.csv,LV electricity distribution main,Human toxicity: carcinogenic,4.3374796058541014e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, metals",2.3504610917513836e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, organics",1.9870185141027188e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,Human toxicity: non-carcinogenic,0.0025318914247421573,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, inorganics",0.00027526090781363475,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, metals",0.0021304183274987263,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, organics",0.00013231573102868833,CTUh
bill_of_materials.csv,LV electricity distribution main,Ionising radiation: human health,1739.3374293842153,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution main,Land use,345185.03927089134,dimensionless
bill_of_materials.csv,LV electricity distribution main,Material resources: metals/minerals,2.4570540303433086,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution main,Ozone depletion,0.0005062189730251414,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution main,Particulate matter formation,0.004850888926279569,disease incidence
bill_of_materials.csv,LV electricity distribution main,Photochemical oxidant formation: human health,254.45921336890223,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution main,Water use,23255.694555080874,m3 world Eq deprived
bill_of_materials.csv,LV electricity distribution secondary,Acidification,49.726150932879804,mol H+-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change,7627.8967775944075,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: biogenic,9.787174272824302,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: fossil,7599.801976806727,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: land use and land use change,18.307626514856125,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Ecotoxicity: freshwater,236882.23317115195,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, inorganics",13368.66606480464,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, metals",222767.95274031055,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, organics",745.61436603681,CTUe
bill_of_materials.csv,LV electricity distribution secondary,Energy resources: non-renewable,87002.57892002563,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: freshwater,2.062361891431255,kg P-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: marine,9.651203495341997,kg N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: terrestrial,102.23820294072323,mol N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: carcinogenic,4.129306216804817e-06,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, metals",8.700884337928605e-07,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, organics",3.2592177830119553e-06,CTUh
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: non-carcinogenic,0.00010253871558667774,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, inorganics",4.2660042380506156e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, metals",5.828221215500389e-05,CTUh
