File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,31200.312399599843,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,5577269.633769912,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,3855.191002488291,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,5571129.75048578,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,2284.692281643406,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,1708329380.3468616,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",16195994.84740313,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",1150101741.1164181,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",542031644.383041,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,79926137.27854878,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,1433.938942963711,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,9113.980055716045,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,114216.69869129872,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.003565483717223187,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0014437823066890604,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.002121701410534127,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.14654638230403244,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.06249553677180421,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.08224142155198001,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.0025380974673506777,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,164103.93222361873,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,11933982.419939248,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,33.44477233856625,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.12218956651746918,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.2840974950873024,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,33626.865501750435,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,1988092.6259993217,m3 world Eq deprived
bill_of_materials.csv,HQ to LQ heat conversion substation,Acidification,14083.992773031183,mol H+-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change,2508107.9773562634,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: biogenic,4357.029834150362,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: fossil,2500972.246429112,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: land use and land use change,2778.7010930017,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ecotoxicity: freshwater,145012517.84123683,CTUe
