File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,LV electricity distribution main,Acidification,227.04222677659345,mol H+-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change,23925.775764475595,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: biogenic,43.543605808559434,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: fossil,23828.85338320824,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: land use and land use change,53.37877545879601,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Ecotoxicity: freshwater,1443388.9052620968,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, inorganics",116749.90208863947,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, metals",1324298.6656881406,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, organics",2340.3374853175483,CTUe
bill_of_materials.csv,LV electricity distribution main,Energy resources: non-renewable,290901.7269351145,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution main,Eutrophication: freshwater,12.85001449897875,kg P-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: marine,33.03670856213179,kg N-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: terrestrial,363.71437910558575,mol N-Eq
bill_of_materials.csv,LV electricity distribution main,Human toxicity: carcinogenic,2.012456513762626e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, metals",1.0905413199076586e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, organics",9.21915193854967e-06,CTUh
bill_of_materials.csv,LV electricity distribution main,Human toxicity: non-carcinogenic,0.0011747193884174484,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, inorganics",0.00012771255596593953,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, metals",0.0009884482763740515,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, organics",6.139041078661481e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,Ionising radiation: human health,806.99882361894,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution main,Land use,160155.19238327898,dimensionless
bill_of_materials.csv,LV electricity distribution main,Material resources: metals/minerals,1.1399971498096364,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution main,Ozone depletion,0.0002348699618736465,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution main,Particulate matter formation,0.0022506625746561877,disease incidence
bill_of_materials.csv,LV electricity distribution main,Photochemical oxidant formation: human health,118.06121249308444,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution main,Water use,10789.923698149758,m3 world Eq deprived
bill_of_materials.csv,LV electricity distribution secondary,Acidification,19.28006706355766,mol H+-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change,2957.525540724545,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: biogenic,3.7947311988310086,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: fossil,2946.6324868049905,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: land use and land use change,7.098322720723609,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Ecotoxicity: freshwater,91845.14095751711,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, inorganics",5183.364757663415,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, metals",86372.68294185855,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, organics",289.0932579950883,CTUe
bill_of_materials.csv,LV electricity distribution secondary,Energy resources: non-renewable,33733.0665014618,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: freshwater,0.7996290649922093,kg P-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: marine,3.742011942275611,kg N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: terrestrial,39.64029735210003,mol N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: carcinogenic,1.601034853741728e-06,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, metals",3.373549538832298e-07,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, organics",1.2636798998584985e-06,CTUh
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: non-carcinogenic,3.975681358870297e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, inorganics",1.654036080815025e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, metals",2.2597465073814313e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, organics",9.531742243676209e-07,CTUh
bill_of_materials.csv,LV electricity distribution secondary,Ionising radiation: human health,58.943909774932,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution secondary,Land use,14525.281178609079,dimensionless
bill_of_materials.csv,LV electricity distribution secondary,Material resources: metals/minerals,0.009139963087227025,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution secondary,Ozone depletion,2.5515737205298616e-05,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution secondary,Particulate matter formation,0.00027310832171187143,disease incidence
bill_of_materials.csv,LV electricity distribution secondary,Photochemical oxidant formation: human health,12.957813843943796,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution secondary,Water use,1140.366255856542,m3 world Eq deprived
bill_of_materials.csv,Low-voltage electricity supply,Acidification,25.481850317316134,mol H+-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change,904.2634173738899,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: biogenic,2.1413472040924195,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: fossil,901.0210556271752,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: land use and land use change,1.1010145426222824,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Ecotoxicity: freshwater,228040.34105959296,CTUe
bill_of_materials.csv,Low-voltage electricity supply,"Ecotoxicity: freshwater, inorganics",23254.242385495534,CTUe
bill_of_materials.csv,Low-voltage electricity supply,"Ecotoxicity: freshwater, metals",204338.10033814766,CTUe
bill_of_materials.csv,Low-voltage electricity supply,"Ecotoxicity: freshwater, organics",447.99833594970664,CTUe
bill_of_materials.csv,Low-voltage electricity supply,Energy resources: non-renewable,11761.730973313504,"MJ, net calorific value"
bill_of_materials.csv,Low-voltage electricity supply,Eutrophication: freshwater,2.1009755763504625,kg P-Eq
bill_of_materials.csv,Low-voltage electricity supply,Eutrophication: marine,1.6715833216962293,kg N-Eq
bill_of_materials.csv,Low-voltage electricity supply,Eutrophication: terrestrial,21.30280259558723,mol N-Eq
bill_of_materials.csv,Low-voltage electricity supply,Human toxicity: carcinogenic,2.9823434914208163e-06,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: carcinogenic, metals",2.4636973560429306e-06,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: carcinogenic, organics",5.186461353778853e-07,CTUh
bill_of_materials.csv,Low-voltage electricity supply,Human toxicity: non-carcinogenic,0.00026256548289391467,CTUh
