File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,39180.53192986228,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,7003788.5572638055,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,4841.247492465738,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,6996078.253277791,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,2869.056493549321,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,2145275116.9972425,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",20338504.471599508,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",1444267525.6988764,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",680669086.826766,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,100369141.61516218,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,1800.7028205583974,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,11445.096510818597,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,143430.3270006771,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.004477440701198199,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0018130638579031174,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.0026643768432950818,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.18402909360428676,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.07848025181930425,CTUh
