File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,33553.478684026646,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,5997914.231594941,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,4145.9542926404,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,5991311.270693203,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,2457.0066090961795,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,1837173702.449855,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",17417516.879924465,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",1236843841.8426428,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",582912343.7272881,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,85954265.74981254,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,1542.0883977285341,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,9801.36774303691,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,122831.0638629227,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.00383439692435986,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.001552674160162818,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.002281722764197042,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.15759909233866,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.06720902771942862,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.08844417163668541,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.002729523928415067,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,176480.8544641616,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,12834058.185523693,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,35.9672185772281,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.1314052552758076,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.30552448076511696,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,36163.045432778614,kg NMVOC-Eq
