File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,30206.89682023644,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,5399689.79182678,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,3732.442013496041,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,5393745.401960529,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,2211.947852755416,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,1653936302.5024703,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",15680315.600393236,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",1113482588.9475234,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",524773397.95455474,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,77381295.13229313,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,1388.282435825205,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,8823.791622299195,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,110580.04767158485,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.0034519589862111576,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0013978123875964398,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.0020541465986147183,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.1418803566112246,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.06050568362307159,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.07962286093013911,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.0024572846365778288,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,158878.87547361577,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,11554005.325223751,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,32.37989332505296,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.1182990599911414,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.2750518524006786,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,32556.188655738275,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,1924791.907641446,m3 world Eq deprived
