File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,30060.50075978751,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,5373520.492879122,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,3714.3529390081303,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,5367604.912170704,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,2201.2277694085883,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,1645920591.3766038,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",15604321.815127742,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",1108086156.954841,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",522230112.60663706,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,77006270.950656,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,1381.5542015214685,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,8781.027602565093,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,110044.12756566628,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.003435229257254885,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0013910379669067321,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.002044191290348153,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.14119274128328851,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.06021244616243788,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.0792369731234168,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.0024453755420310594,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,158108.87776096372,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,11498009.475266533,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,32.22296595681798,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.1177257301174843,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.2737188287587503,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,32398.406881900504,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,1915463.5097547066,m3 world Eq deprived
bill_of_materials.csv,HQ to LQ heat conversion substation,Acidification,13483.871737858091,mol H+-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change,2401237.1219139704,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: biogenic,4171.376142296925,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: fossil,2394405.4455471784,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: land use and land use change,2660.3002244950167,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ecotoxicity: freshwater,138833512.80180103,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, inorganics",28278242.61969505,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, metals",110333498.11045909,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, organics",221772.07164674994,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,Energy resources: non-renewable,26967748.044903625,"MJ, net calorific value"
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: freshwater,2372.6183223602666,kg P-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: marine,2480.0190582511714,kg N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: terrestrial,25935.95008568059,mol N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: carcinogenic,0.0032234098364623243,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, metals",0.0025143267563374765,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, organics",0.0007090830801248496,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: non-carcinogenic,0.05861626395777363,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, inorganics",0.009387182462052442,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, metals",0.04863274784217727,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, organics",0.0008654565162625208,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,Ionising radiation: human health,153006.70186048004,kBq U235-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Land use,12970249.416664049,dimensionless
bill_of_materials.csv,HQ to LQ heat conversion substation,Material resources: metals/minerals,65.46237482014851,kg Sb-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ozone depletion,0.01696862514009194,kg CFC-11-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Particulate matter formation,0.20806489101385914,disease incidence
bill_of_materials.csv,HQ to LQ heat conversion substation,Photochemical oxidant formation: human health,8118.233668628259,kg NMVOC-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Water use,917248.9621915347,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN360.0,Acidification,6992.355000211061,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN360.0,Climate change,1932788.6978994976,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN360.0,Climate change: biogenic,1578.4810879002785,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN360.0,Climate change: fossil,1929303.2911144553,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN360.0,Climate change: land use and land use change,1906.925697142147,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN360.0,Ecotoxicity: freshwater,67700483.4028607,CTUe
bill_of_materials.csv,Heat pipe_DN360.0,"Ecotoxicity: freshwater, inorganics",14358198.827371785,CTUe
bill_of_materials.csv,Heat pipe_DN360.0,"Ecotoxicity: freshwater, metals",52064656.767400615,CTUe
bill_of_materials.csv,Heat pipe_DN360.0,"Ecotoxicity: freshwater, organics",1277627.8080882847,CTUe
bill_of_materials.csv,Heat pipe_DN360.0,Energy resources: non-renewable,24485011.35361256,"MJ, net calorific value"
bill_of_materials.csv,Heat pipe_DN360.0,Eutrophication: freshwater,648.4239625708909,kg P-Eq
bill_of_materials.csv,Heat pipe_DN360.0,Eutrophication: marine,1991.4621936544165,kg N-Eq
bill_of_materials.csv,Heat pipe_DN360.0,Eutrophication: terrestrial,18787.94850156683,mol N-Eq
bill_of_materials.csv,Heat pipe_DN360.0,Human toxicity: carcinogenic,0.0017851894647387765,CTUh
bill_of_materials.csv,Heat pipe_DN360.0,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Heat pipe_DN360.0,"Human toxicity: carcinogenic, metals",0.0005672484552113208,CTUh
bill_of_materials.csv,Heat pipe_DN360.0,"Human toxicity: carcinogenic, organics",0.0012179410095274554,CTUh
bill_of_materials.csv,Heat pipe_DN360.0,Human toxicity: non-carcinogenic,0.04948981724433881,CTUh
bill_of_materials.csv,Heat pipe_DN360.0,"Human toxicity: non-carcinogenic, inorganics",0.026592334881527676,CTUh
bill_of_materials.csv,Heat pipe_DN360.0,"Human toxicity: non-carcinogenic, metals",0.021948194345949728,CTUh
bill_of_materials.csv,Heat pipe_DN360.0,"Human toxicity: non-carcinogenic, organics",0.0011960882208132684,CTUh
bill_of_materials.csv,Heat pipe_DN360.0,Ionising radiation: human health,75574.41419101814,kBq U235-Eq
