File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,LV electricity distribution main,Acidification,1840.5243045795373,mol H+-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change,193954.98549161147,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: biogenic,352.98748579727464,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: fossil,193169.28143596975,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: land use and land use change,432.7165698444263,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Ecotoxicity: freshwater,11700873.440205432,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, inorganics",946436.4202297156,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, metals",10735465.007219324,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, organics",18972.01275639345,CTUe
bill_of_materials.csv,LV electricity distribution main,Energy resources: non-renewable,2358203.168942122,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution main,Eutrophication: freshwater,104.1690100354851,kg P-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: marine,267.81302278076055,kg N-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: terrestrial,2948.461016142128,mol N-Eq
bill_of_materials.csv,LV electricity distribution main,Human toxicity: carcinogenic,0.0001631403628336583,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, metals",8.840504398388064e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, organics",7.473531884977764e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,Human toxicity: non-carcinogenic,0.009522896318184032,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, inorganics",0.0010353054874086495,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, metals",0.008012884221208447,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, organics",0.0004976631207553636,CTUh
bill_of_materials.csv,LV electricity distribution main,Ionising radiation: human health,6541.959043148711,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution main,Land use,1298302.647357692,dimensionless
bill_of_materials.csv,LV electricity distribution main,Material resources: metals/minerals,9.24141949788323,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution main,Ozone depletion,0.0019039800630103825,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution main,Particulate matter formation,0.018245060528490772,disease incidence
bill_of_materials.csv,LV electricity distribution main,Photochemical oxidant formation: human health,957.066595525713,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution main,Water use,87468.82504171575,m3 world Eq deprived
bill_of_materials.csv,LV electricity distribution secondary,Acidification,686.8084138893882,mol H+-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change,105355.10166879905,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: biogenic,135.17864368490322,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: fossil,104967.06146851146,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: land use and land use change,252.8615566026768,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Ecotoxicity: freshwater,3271773.660150314,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, inorganics",184645.5469312073,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, metals",3076829.825286021,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, organics",10298.287933085874,CTUe
bill_of_materials.csv,LV electricity distribution secondary,Energy resources: non-renewable,1201663.5535093995,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: freshwater,28.484961593583524,kg P-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: marine,133.30064041567815,kg N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: terrestrial,1412.095178961258,mol N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: carcinogenic,5.7033214918552316e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, metals",1.201750077063864e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, organics",4.5015714147913665e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: non-carcinogenic,0.0014162458041323133,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, inorganics",0.0005892126274434058,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, metals",0.0008049831514643806,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: non-carcinogenic, organics",3.3954657680395814e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,Ionising radiation: human health,2099.7423425709862,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution secondary,Land use,517430.0117676585,dimensionless
bill_of_materials.csv,LV electricity distribution secondary,Material resources: metals/minerals,0.3255903379512214,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution secondary,Ozone depletion,0.0009089399399607637,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution secondary,Particulate matter formation,0.00972886103749428,disease incidence
bill_of_materials.csv,LV electricity distribution secondary,Photochemical oxidant formation: human health,461.5925631531906,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution secondary,Water use,40622.94684224445,m3 world Eq deprived
bill_of_materials.csv,Low-voltage electricity supply,Acidification,2597.556167345722,mol H+-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change,92178.35390503389,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: biogenic,218.28358487134471,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: fossil,91847.83564803662,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Climate change: land use and land use change,112.23467212592355,kg CO2-Eq
bill_of_materials.csv,Low-voltage electricity supply,Ecotoxicity: freshwater,23245862.719805665,CTUe
bill_of_materials.csv,Low-voltage electricity supply,"Ecotoxicity: freshwater, inorganics",2370479.379370213,CTUe
bill_of_materials.csv,Low-voltage electricity supply,"Ecotoxicity: freshwater, metals",20829715.509174537,CTUe
bill_of_materials.csv,Low-voltage electricity supply,"Ecotoxicity: freshwater, organics",45667.831260903,CTUe
bill_of_materials.csv,Low-voltage electricity supply,Energy resources: non-renewable,1198961.4744589524,"MJ, net calorific value"
bill_of_materials.csv,Low-voltage electricity supply,Eutrophication: freshwater,214.16820198819386,kg P-Eq
bill_of_materials.csv,Low-voltage electricity supply,Eutrophication: marine,170.39702817631212,kg N-Eq
bill_of_materials.csv,Low-voltage electricity supply,Eutrophication: terrestrial,2171.5544819095453,mol N-Eq
bill_of_materials.csv,Low-voltage electricity supply,Human toxicity: carcinogenic,0.0003040126455816746,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: carcinogenic, metals",0.0002511431541262069,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: carcinogenic, organics",5.2869491455467574e-05,CTUh
bill_of_materials.csv,Low-voltage electricity supply,Human toxicity: non-carcinogenic,0.02676526943413229,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: non-carcinogenic, inorganics",0.0016135353709424696,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: non-carcinogenic, metals",0.02362340616771203,CTUh
bill_of_materials.csv,Low-voltage electricity supply,"Human toxicity: non-carcinogenic, organics",0.0015395881484108953,CTUh
bill_of_materials.csv,Low-voltage electricity supply,Ionising radiation: human health,7883.205345946775,kBq U235-Eq
bill_of_materials.csv,Low-voltage electricity supply,Land use,937417.954354998,dimensionless
bill_of_materials.csv,Low-voltage electricity supply,Material resources: metals/minerals,30.440398618305355,kg Sb-Eq
bill_of_materials.csv,Low-voltage electricity supply,Ozone depletion,0.0011173414056452379,kg CFC-11-Eq
bill_of_materials.csv,Low-voltage electricity supply,Particulate matter formation,0.012165928871780644,disease incidence
bill_of_materials.csv,Low-voltage electricity supply,Photochemical oxidant formation: human health,664.8149721027768,kg NMVOC-Eq
bill_of_materials.csv,Low-voltage electricity supply,Water use,47804.66754438014,m3 world Eq deprived
bill_of_materials.csv,Air-to-air heat pump,Acidification,14388.977698801327,mol H+-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change,43985662.813163735,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change: biogenic,3915.4098576109914,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change: fossil,43980152.2784274,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Climate change: land use and land use change,1595.1248787206982,kg CO2-Eq
bill_of_materials.csv,Air-to-air heat pump,Ecotoxicity: freshwater,116346189.03754377,CTUe
bill_of_materials.csv,Air-to-air heat pump,"Ecotoxicity: freshwater, inorganics",13169233.984488478,CTUe
bill_of_materials.csv,Air-to-air heat pump,"Ecotoxicity: freshwater, metals",102890176.72291839,CTUe
bill_of_materials.csv,Air-to-air heat pump,"Ecotoxicity: freshwater, organics",286778.33013702097,CTUe
bill_of_materials.csv,Air-to-air heat pump,Energy resources: non-renewable,30959005.315072108,"MJ, net calorific value"
bill_of_materials.csv,Air-to-air heat pump,Eutrophication: freshwater,1164.013694187887,kg P-Eq
bill_of_materials.csv,Air-to-air heat pump,Eutrophication: marine,2143.5982824086004,kg N-Eq
bill_of_materials.csv,Air-to-air heat pump,Eutrophication: terrestrial,23309.190785474086,mol N-Eq
bill_of_materials.csv,Air-to-air heat pump,Human toxicity: carcinogenic,0.0031629465042363625,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: carcinogenic, metals",0.0010226983305881032,CTUh
bill_of_materials.csv,Air-to-air heat pump,"Human toxicity: carcinogenic, organics",0.002140248173648259,CTUh
bill_of_materials.csv,Air-to-air heat pump,Human toxicity: non-carcinogenic,0.0993543569946032,CTUh
