File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,LV electricity distribution main,Acidification,1838.21045526568,mol H+-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change,193711.15137924382,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: biogenic,352.543721023411,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: fossil,192926.43508604864,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: land use and land use change,432.1725721717317,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Ecotoxicity: freshwater,11686163.469837872,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, inorganics",945246.590105708,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, metals",10721968.717993986,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, organics",18948.161738186507,CTUe
bill_of_materials.csv,LV electricity distribution main,Energy resources: non-renewable,2355238.5100289984,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution main,Eutrophication: freshwater,104.03805202977107,kg P-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: marine,267.4763366650374,kg N-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: terrestrial,2944.7543036134452,mol N-Eq
bill_of_materials.csv,LV electricity distribution main,Human toxicity: carcinogenic,0.00016293526789648964,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, metals",8.829390394087514e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, organics",7.464136395561451e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,Human toxicity: non-carcinogenic,0.00951092443220733,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, inorganics",0.0010340039338862582,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, metals",0.008002810674985155,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, organics",0.0004970374743199279,CTUh
bill_of_materials.csv,LV electricity distribution main,Ionising radiation: human health,6533.734697832757,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution main,Land use,1296670.462070983,dimensionless
bill_of_materials.csv,LV electricity distribution main,Material resources: metals/minerals,9.229801475719093,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution main,Ozone depletion,0.0019015864391112402,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution main,Particulate matter formation,0.018222123411778944,disease incidence
bill_of_materials.csv,LV electricity distribution main,Photochemical oxidant formation: human health,955.8634014793959,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution main,Water use,87358.86198374187,m3 world Eq deprived
bill_of_materials.csv,LV electricity distribution secondary,Acidification,705.2369254238765,mol H+-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change,108182.00021438564,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: biogenic,138.80577047016845,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: fossil,107783.54808092686,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change: land use and land use change,259.646362988627,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution secondary,Ecotoxicity: freshwater,3359562.2157576517,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, inorganics",189599.97457449144,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, metals",3159387.628566041,CTUe
bill_of_materials.csv,LV electricity distribution secondary,"Ecotoxicity: freshwater, organics",10574.612617120581,CTUe
bill_of_materials.csv,LV electricity distribution secondary,Energy resources: non-renewable,1233906.7092549969,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: freshwater,29.24927291049666,kg P-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: marine,136.87737643081203,kg N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Eutrophication: terrestrial,1449.9846569685492,mol N-Eq
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: carcinogenic,5.856353580239747e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, metals",1.233995554418062e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,"Human toxicity: carcinogenic, organics",4.6223580258216836e-05,CTUh
bill_of_materials.csv,LV electricity distribution secondary,Human toxicity: non-carcinogenic,0.0014542466521261883,CTUh
