File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,26478.58243258633,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,4733228.047691965,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,3271.761879988768,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,4728017.3496841,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,1938.9361278755866,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,1449797673.1830332,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",13744958.036067864,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",976049962.8331538,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",460002752.3138114,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,67830436.67458317,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,1216.9323825439442,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,7734.706919066604,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,96931.60224620736,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.003025897731708274,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0012252860911375456,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.0018006116405707285,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.12436864138848835,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.05303771324104349,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.0697953351250777,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.002153991990543196,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,139269.10222060428,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,10127941.451619914,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,28.383374818938307,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.10369788827743594,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.24110332121728761,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,28537.91073415698,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,1687222.67286706,m3 world Eq deprived
bill_of_materials.csv,HQ to LQ heat conversion substation,Acidification,11142.578886878087,mol H+-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change,1984294.6133865183,kg CO2-Eq
