File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Geothermal heat supply,Acidification,26379.318650003577,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,4715483.966375044,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,3259.4965912126527,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,4710292.80240362,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,1931.667380210211,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,1444362623.8790836,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",13693430.48433525,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",972390914.5609406,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",458278278.83380514,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,67576151.69782118,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,1212.3703063170035,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,7705.7107948250605,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,96568.22186074828,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.003014554146555151,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0012206926982524832,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.0017938614483026679,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.12390240412634139,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.052838883713471535,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.06953368407223955,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.0021459170343714053,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,138747.00561975635,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,10089973.490879413,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,28.2769702878738,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.10330914221587954,kg CFC-11-Eq
