File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,LV electricity distribution main,Acidification,1665.8985378112668,mol H+-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change,175552.8714984803,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: biogenic,319.4966428817097,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: fossil,174841.71368644323,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Climate change: land use and land use change,391.6611691553924,kg CO2-Eq
bill_of_materials.csv,LV electricity distribution main,Ecotoxicity: freshwater,10590714.77983334,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, inorganics",856640.167515853,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, metals",9716902.631359886,CTUe
bill_of_materials.csv,LV electricity distribution main,"Ecotoxicity: freshwater, organics",17171.98095758521,CTUe
bill_of_materials.csv,LV electricity distribution main,Energy resources: non-renewable,2134460.9257415044,"MJ, net calorific value"
bill_of_materials.csv,LV electricity distribution main,Eutrophication: freshwater,94.28563430082248,kg P-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: marine,242.40338578914162,kg N-Eq
bill_of_materials.csv,LV electricity distribution main,Eutrophication: terrestrial,2668.716127987669,mol N-Eq
bill_of_materials.csv,LV electricity distribution main,Human toxicity: carcinogenic,0.00014766188701033069,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, metals",8.00173261181313e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: carcinogenic, organics",6.76445608921994e-05,CTUh
bill_of_materials.csv,LV electricity distribution main,Human toxicity: non-carcinogenic,0.00861938036499616,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, inorganics",0.0009370774911098275,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, metals",0.00725263560744534,CTUh
bill_of_materials.csv,LV electricity distribution main,"Human toxicity: non-carcinogenic, organics",0.0004504457035020501,CTUh
bill_of_materials.csv,LV electricity distribution main,Ionising radiation: human health,5921.269269460864,kBq U235-Eq
bill_of_materials.csv,LV electricity distribution main,Land use,1175121.9348139889,dimensionless
bill_of_materials.csv,LV electricity distribution main,Material resources: metals/minerals,8.364609579193367,kg Sb-Eq
bill_of_materials.csv,LV electricity distribution main,Ozone depletion,0.0017233337234932081,kg CFC-11-Eq
bill_of_materials.csv,LV electricity distribution main,Particulate matter formation,0.016514000701356862,disease incidence
bill_of_materials.csv,LV electricity distribution main,Photochemical oxidant formation: human health,866.2617701419189,kg NMVOC-Eq
bill_of_materials.csv,LV electricity distribution main,Water use,79169.93401201074,m3 world Eq deprived
bill_of_materials.csv,LV electricity distribution secondary,Acidification,690.9461827123799,mol H+-Eq
bill_of_materials.csv,LV electricity distribution secondary,Climate change,105989.82751986932,kg CO2-Eq
