id,Warmtevraag per m2,Warmtevraag,Bouwjaar
0503100000000190,93899.45136644723,10855715.572474964,1966
0503100000000191,78449.884317011,8929950.331805363,1966
0503100000000193,108930.3258021558,1052920529.203638,1965
0503100000001933,68007.80538965845,7741328.487504821,1967
0503100000001936,88450.54332616067,10225767.313937435,1967
0503100000001937,75030.30288345038,8540699.377223156,1967
0503100000001938,68943.85634793645,7847879.168085606,1967
0503100000002020,81250.76759961723,9248774.87586443,1967
0503100000002021,77450.94702886755,8816241.300295994,1967
0503100000002023,85523.6465117317,9887388.7732213,1967
0503100000002025,72461.35816875748,8248276.400349664,1967
0503100000002026,70308.88162453932,8003259.995321312,1966
0503100000002031,71154.34994978453,8099499.654783973,1967
0503100000002032,68110.25312860735,7752990.113629375,1966
0503100000002033,83118.27938832996,9609304.280084826,1966
0503100000013778,70027.43872184285,7971223.349707371,1966
0503100000013779,89082.75144845252,10298856.894955596,1966
0503100000013780,90055.103079178,10411270.46698377,1966
0503100000013831,66971.60695031837,7623378.01915474,1966
0503100000013832,73589.6541236171,8376710.328891334,1966
0503100000013834,69828.13915124694,7948537.079586439,1966
0503100000013838,75064.60929304973,8544604.47582785,1966
0503100000013839,78699.49258540373,8958363.240996506,1966
0503100000013840,93181.37030025978,10772698.220413033,1966
0503100000013841,76785.90222464781,8740539.25023166,1966
0503100000013842,93703.14543192656,10833020.64338503,1966
0503100000013843,81445.7230812924,9270966.658343513,1966
0503100000013844,90330.977035935,10443164.255124444,1966
0503100000013845,76836.42529458157,8746290.29128222,1966
0503100000013846,74113.98935756901,8436395.40857208,1966
0503100000013849,86683.4040968901,10021468.347641464,1966
0503100000013850,66942.6760669943,7620084.816705961,1966
0503100000013851,95189.72185830586,11004883.74403874,1966
0503100000013852,73346.21730484905,8348999.915810967,1966
0503100000013853,72255.73394179116,8224870.194594088,1966
0503100000013854,72038.52028212926,8200144.763714774,1966
0503100000013855,69937.97390731775,7961039.569869978,1966
0503100000013864,77327.62329311001,8802203.359454712,1966
0503100000013866,79928.02891415352,9098207.531298095,1966
0503100000013867,72370.45230015596,8237928.585326753,1966
0503100000013868,79151.38713577842,9009802.397665657,1966
0503100000013869,85156.80187578984,9844977.864860063,1966
0503100000013870,67474.3496591298,7680605.221698746,1966
0503100000013871,70711.21703053542,8049057.834585847,1966
0503100000013872,74692.48062398916,8502245.069428686,1966
0503100000013873,84338.92547306283,9750423.173940795,1966
0503100000013875,83469.74204643442,9649936.877988283,1966
0503100000013876,81952.68168388326,9328673.75607643,1966
0503100000013877,70843.45726976392,8064110.741017228,1966
0503100000013878,77378.1185251565,8807951.231718564,1966
0503100000013880,70990.54224771062,8080853.424056899,1966
0503100000013881,64709.196813764014,7365847.873310758,1966
0503100000014645,80213.78752297173,9273515.975530762,1967
0503100000014648,77266.41338822669,8795235.835981844,1967
0503100000014649,68797.55209935963,7831225.355470106,1967
0503100000014654,78141.05780646532,9033887.693005456,1967
0503100000014719,71467.25749563346,8135117.920727957,1967
0503100000014723,63747.22716350182,7256346.868021412,1967
0503100000014725,88531.36632379187,10235111.260693578,1967
0503100000014726,71780.31943391926,8170753.761163028,1967
0503100000014729,68214.71168574975,7764880.631188894,1967
0503100000014731,73916.753022212,8413943.996518392,1967
0503100000014733,76658.56518609474,8726044.475133164,1967
0503100000014739,69319.33652719784,7890620.0768909305,1967
0503100000014741,99807.32783014356,11538725.170442898,1967
0503100000014744,71129.55487774729,8096677.231733974,1967
0503100000014745,75912.35288309616,8641103.128682835,1967
0503100000014747,76847.2172919619,8747518.744344024,1967
0503100000014748,88363.16715569385,10215665.754869767,1967
0503100000014835,84703.34975511093,9641782.302624278,1967
0503100000014836,77541.34726106872,8826531.558727453,1967
0503100000014837,80853.48984975628,9347471.961530324,1967
0503100000014838,85020.32906733194,9829200.243474245,1967
0503100000014843,74764.44449879885,8510436.717298273,1967
0503100000014847,70990.32163264522,8080828.311444005,1967
0503100000014848,71848.99871831198,8178571.524105452,1967
0503100000014850,66225.48630671373,7538447.106293224,1967
0503100000014852,82850.64689252594,9578363.287244923,1967
0503100000014854,90640.38378433391,10478934.769306844,1967
0503100000015289,80226.63235585048,9132197.56106646,1967
